ts,name,value,unit,mode,pid,bus
2026-07-21T22:40:24.196651076+00:00,engine_rpm,675.5,rpm,1,12,hs
2026-07-21T22:40:24.249637593+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:24.286785619+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:24.334723658+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:24.376692316+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:24.420661824+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:40:25.287713698+00:00,engine_rpm,677.75,rpm,1,12,hs
2026-07-21T22:40:25.325678398+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:25.367724838+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:25.414709229+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:25.456759166+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:25.499693192+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:26.376637242+00:00,engine_rpm,669.75,rpm,1,12,hs
2026-07-21T22:40:26.469647077+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:26.516659430+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:26.556678153+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:26.598664026+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:26.636764671+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:40:27.519764608+00:00,engine_rpm,674,rpm,1,12,hs
2026-07-21T22:40:27.565661144+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:27.607723573+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:27.652711769+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:27.720672103+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:27.756678486+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:28.651681459+00:00,engine_rpm,674.5,rpm,1,12,hs
2026-07-21T22:40:28.739664548+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:28.779728414+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:28.824618339+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:28.891775612+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:28.976643321+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:40:29.835703144+00:00,engine_rpm,673.25,rpm,1,12,hs
2026-07-21T22:40:29.886678209+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:29.926817433+00:00,coolant_temp,96,C,1,5,hs
