Last Revised: 10/29/22  These features are not currently possible: operating cameras/spot light/ACC at any speed,,,,,,
** Below: ignore whatever you have where the x's are and just write the non-x value in the correct position **  Note: module BCM=BdyCM in FORScan,,,,,,
Feature Name,Module,Address,Value change,,,Notes
Auto Start/Stop Disable - by disabling BMS (Battery Management System),BCM,726-48-02,x0xx,xxxx,xxxx,
,FCIM,7A7-01-01,xxxx,x0xx,xxxx,(optional - disables switch)
,IPC,720-01-01,xxxx,1xxx,xxxx,(optional - disables stop/start message center in the trip/fuel IPC menu)
DRL  - Position Lamp Cfg,BCM,726-29-02,x1xx,xxxx,xxxx,position lamps at full brightness like Super Duty
DRL - Parking Lights only (stock LEDs only),BCM,726-26-02,x1xx,xxxx,xxxx,"** Testing DRLs: Make sure all of the following are set: **

1. Daytime Lights box checked in cluster under settings, adv settings, vehicle, lighting
2. Headlamp switch in the Auto position
3. Truck must be in gear for DRLs to work"
,,726-50-01,01xx,,,
DRL - Parking Light only (Halogens),BCM,726-26-02,x1xx,xxxx,xxxx,
,,726-45-01,xxxx,7Fxx,xxxx,
,,726-50-01,108E,,,
DRL - Parking Lights & Low Beams only,BCM,726-26-02,x1xx,xxxx,xxxx,
,,726-50-01,02xx,,,
DRL - Parking Lights & Turns only,BCM,726-45-01,xxxx,7Fxx,xxxx,
,,726-26-02,x1xx,xxxx,xxxx,
,,726-50-01,08xx,,,
DRL - Anzo switchback white halo,BCM,726-45-01,xxxx,7Fxx,xxxx,
,,726-26-02,x1xx,xxxx,xxxx,
,,726-50-01,10xx,,,
DRL - Turns only (Halogen/aftermarket lights only),BCM,726-45-01,xxxx,7Fxx,xxxx,** On stock LEDs this will also illuminate outer halo
,,726-50-01,08xx,,,
DRL - Front Fog Lights only,BCM,726-45-01,xxxx,7Fxx,xxxx,To enable DRL Parking Lights with these set 726-26-02: x1xx xxxx xxxx also
,,726-50-01,04xx,,,
DRL - High beams only,BCM,726-45-01,xxxx,7Fxx,xxxx,
,,726-50-01,20xx,,,
Powerfold Mirrors (trucks without memory buttons),DDM,740-03-01,*xxx,xx,,"0=disabled, 8=enabled  "
,PDM,741-03-01,*xxx,xx,,
,,,,,,** click here for tmcolegr's post on retrofitting non-folding to folding mirrors
Autofold Mirrors,DDM,740-03-01,x8xx,xx,,** Tow mirrors require swapping pin 18 & 19 on mirror connector (see posts linked below) **
,DDM,740-12-01,Fxxx,,,Tow Mirror mod instructions
,PDM,741-03-01,x8xx,xx,,B-ManFX4's comprehensive write-up w/pics on tow mirror mod here
,PDM,741-12-01,Fxxx,,,regular autofold vs Lincoln autofold explained
Autofold Mirrors - Lincoln Style (see desc in Notes),DDM,740-03-01,x84x,xx,,** Tow mirrors require swapping pin 18 & 19 on mirror connector (see posts linked above) **
,DDM,740-12-01,Fxxx,,,regular autofold vs Lincoln autofold explained
,PDM,741-03-01,x84x,xx,,
,PDM,741-12-01,Fxxx,,,
Reverse Tilt Mirrors,DDM,740-03-01,Fxxx,xx,,** Note: this only works for mirrors with memory **
,DDM,740-13-01,Fxxx,,,"Select left/right mirror, put truck in Reverse and mirror will automatically tilt down toward curb and then return to normal position when gear is changed."
,PDM,741-03-01,Fxxx,xx,,Follow this link for the proper adjustment procedure for this mod
,PDM,741-13-01,Fxxx,,,** For a 2018 740/741-13-01 may require FCxx **
,,,,,,
Global Window Open/Close,BCM,726-17-01,0101,0101,014A,"After pressing lock/unlock on fob, press lock/unlock again and hold button for front windows to go up/down"
,BCM,726-17-02,0101,0101,014B,
,BCM,726-30-01,0101,xxxx,xxxx,
,DDM,740-05-01,Dxxx,xx,,
,PDM,741-05-01,Dxxx,xx,,
Disabling Canadian forced DRLs to cluster controlled,BCM,726-16-02,0101,0101,014A,DRL Cluster Control 1 enabled
,BCM,726-21-01,xxxx,xxxx,x1xx,
,IPC,720-02-01,xxEx,xxxx,xxxx,Daytime Lights option & Lane Keeping System present in Settings
,OR,,,,,
,IPC,720-02-01,xxCx,xxxx,xxxx,Daytime Lights option present & Lane Keeping System absent in Settings
Double Horn Honk disable,BCM,726-41-02,xxx0,xxxx,xxxx,
Auto Relock enable (2015-2016s),BCM,726-15-02,0101,0101,0149,"If truck unlocked with fob, truck auto relocks after 45 seconds"
Auto Relock enable (2017-present),BCM,726-15-02,0101,0101,0149,
,BCM,726-21-01,xxxx,x1xx,xxxx,
,BCM,726-38-02,xxxx,xxx*,xxxx,"Auto Relock Time Duration: 1=30 seconds, 2=45 seconds"
Allows NAV & ability to read text messages while vehicle in motion,APIM,7D0-02-01,5753,xxxx,xxxx,Sync2 - Sirius Travel Link no longer works
,,,,,,Sync3 - 911 assist will be disabled with this enabled. Speed limit sign will look European and FM radio stations will have and extra number like 102.70 instead of 102.7
"Ability to do fogs & high beams at same time
aka ""Bambi mode""",BCM,726-27-01,xxxx,xxx0,xxxx,Bambi mode without high beam/fogs remembered after ignition off/on
,BCM,726-27-01,xxxx,xxx0,01xx,Bambi mode with high beam/fogs remembered after ignition off/on
Driver seatbelt minder status off,IPC,720-01-01,xxxx,xx2x,xxxx,
Passenger seatbelt minder status off,IPC,720-01-01,xxxx,xx4x,xxxx,
Driver & passenger seatbelt minder status off,IPC,720-01-01,xxxx,xx0x,xxxx,
Disables Door Ajar warning chime,IPC,720-01-02,xx0x,xxxx,,
"Engine temp & Transmission temp shows above gauges (8"" Clusters only)",IPC,720-07-01,xxxx,xE5x,xxxx,** use this if you have trailer brake controller and turbos **
,IPC,720-07-01,xxxx,x65x,xxxx,** use this if you don't have trailer brake controller but have turbos **
,IPC,720-07-01,xxxx,xA5x,xxxx,** use this if you have TBC but don't have turbos **
,IPC,720-07-01,xxxx,x25x,xxxx,** use this if you don't have TBC or turbos **
IPC Quick Boot (No Ford animation shows on cluster),IPC,720-07-01,xxxx,xxxx,2xxx,
Enables stereo to be turned on without Accessories on (2015 F150s only),APIM,7D0-01-01,xx2x,xxxx,xxxx,2016 Models already have this capability
Fake engine noise disable,ACM,727-01-01,xxxx,x0xx,xxxx,
,DSP,783-01-01,Exxx,xxxx,,<---2018 Lariat+ models may require this also
Heated & Cooled Seat Icons on home & climate screen,APIM,7D0-01-01,xxxx,xxxx,x2xx,** use this for Sync 3  **
