Address,Byte Values,,,Audio Control Module ACM 727-XX-XX,,Notes
,,,,,,
727-01-01,*xxx,xxxx,xxxx,"Internal Satellite Digital Audio Radio Service (SDARS), APIM Type (GEN1/GEN2), EFP (CAN/LIN), APIM",,
,,,,"0=Int SDARS Enabled, APIM Gen2, EFP CAN based, APIM Not Available","8=Int SDARS Disabled, APIM Gen2, EFP CAN based, APIM Not Available",
,,,,"1=Int SDARS Enabled, APIM Gen2, EFP CAN based, APIM Available","9=Int SDARS Disabled, APIM Gen2, EFP CAN based, APIM Available",
,,,,"2=Int SDARS Enabled, APIM Gen2, EFP LIN based, APIM Not Available","A=Int SDARS Disabled, APIM Gen2, EFP LIN based, APIM Not Available",
,,,,"3=Int SDARS Enabled, APIM Gen2, EFP LIN based, APIM Available","B=Int SDARS Disabled, APIM Gen2, EFP LIN based, APIM Available",
,,,,"4=Int SDARS Enabled, APIM Gen1, EFP CAN based, APIM Not Available","C=Int SDARS Disabled, APIM Gen1, EFP CAN based, APIM Not Available",
,,,,"5=Int SDARS Enabled, APIM Gen1, EFP CAN based, APIM Available","D=Int SDARS Disabled, APIM Gen1, EFP CAN based, APIM Available",
,,,,"6=Int SDARS Enabled, APIM Gen1, EFP LIN based, APIM Not Available","E=Int SDARS Disabled, APIM Gen1, EFP LIN based, APIM Not Available",
,,,,"7=Int SDARS Enabled, APIM Gen1, EFP LIN based, APIM Not Available","F=Int SDARS Disabled, APIM Gen1, EFP LIN based, APIM Available",
727-01-01,x*xx,xxxx,xxxx,"HD Radio (HDR), Digital Audio Broadcast (DAB) Tuner, Steering Wheel Controls (SWC) Audio: CAN-SWC, CGEA Version (1.2/1.3)",,
,,,,"0=HD Radio Enabled, DAB Not Available, SWC Not Available, CGEA 1.3","8=HD Radio Disabled, DAB Not Available, SWC Not Available, CGEA 1.3",
,,,,"1=HD Radio Enabled, DAB Not Available, SWC Not Available, CGEA 1.2","9=HD Radio Disabled, DAB Not Available, SWC Not Available, CGEA 1.2",
,,,,"2=HD Radio Enabled, DAB Not Available, SWC Available, CGEA 1.3","A=HD Radio Disabled, DAB Not Available, SWC Available, CGEA 1.3",
,,,,"3=HD Radio Enabled, DAB Not Available, SWC Available, CGEA 1.2","B=HD Radio Disabled, DAB Not Available, SWC Available, CGEA 1.2",
,,,,"4=HD Radio Enabled, DAB Available, SWC Not Available, CGEA 1.3","C=HD Radio Disabled, DAB Available, SWC Not Available, CGEA 1.3",
,,,,"5=HD Radio Enabled, DAB Available, SWC Not Available, CGEA 1.2","D=HD Radio Disabled, DAB Available, SWC Not Available, CGEA 1.2",
,,,,"6=HD Radio Enabled, DAB Available, SWC Available, CGEA 1.3","E=HD Radio Disabled, DAB Available, SWC Available, CGEA 1.3",
,,,,"7=HD Radio Enabled, DAB Available, SWC Available, CGEA 1.2","F=HD Radio Disabled, DAB Available, SWC Available, CGEA 1.2",
727-01-01,xx*x,xxxx,xxxx,Front/Rear Satellite Speakers,,
,,,,"* Int Amp=Default, External Variable=4 Volts (Vref1), Fixed L/L=aka Smart Amp *",,
,,,,"0=Front: Int Amp, Rear: Int Amp","8=Front: Fixed Line Level, Rear: Int Amp",
,,,,"1=Front: Int Amp, Rear: External Variable","9=Front: Fixed Line Level, Rear: External Variable",
,,,,"2=Front: Int Amp, Rear: Fixed L/L","A=Front: Fixed Line Level, Rear: Fixed L/L",
,,,,"3=Front: Int Amp, Rear: Not Used","B=Front: Fixed Line Level, Rear: Not Used",
,,,,"4=Front: External Variable, Rear: Int Amp","C=Front: Reserved, Rear: Int Amp",
,,,,"5=Front: External Variable, Rear: External Variable","D=Front: Reserved, Rear: External Variable",
,,,,"6=Front: External Variable, Rear: Fixed L/L","E=Front: Reserved, Rear: Fixed L/L",
,,,,"7=Front: External Variable, Rear: Not Used","F=Front: Reserved, Rear: Not Used",
727-01-01,xxx*,xxxx,xxxx,"Aux 1, Aux 2",,
,,,,"* Ext Sub= Vref1-4 volt, External Speaker=Vref1-4 volt *",,
,,,,"0=Aux1 Not Used, Aux2 Not Used","8=Aux1 External Sub, Aux2 Not Used",
,,,,"1=Aux1 Not Used, Aux2 Internal Amp","9=Aux1 External Sub, Aux2 Internal Amp",
,,,,"2=Aux1 Not Used, Aux2 External Sub","A=Aux1 External Sub, Aux2 External Sub",
,,,,"3=Aux1 Not Used, Aux2 External Speaker","B=Aux1 External Sub, Aux2 External Speaker",
,,,,"4=Aux1 Reserved, Aux2 Not Used","C=Aux1 External Speaker, Aux2 Not Used",
,,,,"5=Aux1 Reserved, Aux2 Internal Amp","D=Aux1 External Speaker, Aux2 Internal Amp",
,,,,"6=Aux1 Reserved, Aux2 External Sub","E=Aux1 External Speaker, Aux2 External Sub",
,,,,"7=Aux1 Reserved, Aux2 External Speaker","F=Aux1 External Speaker, Aux2 External Speaker",
727-01-01,xxxx,*xxx,xxxx,"A2B, Reserved, Alternative Frequency (AF), Number of Presets (NOP)",,
,,,,"0=A2B Disabled, Reserved, AF On, NOP 10","8=A2B Enabled, Reserved, AF On, NOP 10",
,,,,"1=A2B Disabled, Reserved, AF On, NOP 6","9=A2B Enabled, Reserved, AF On, NOP 6",
,,,,"2=A2B Disabled, Reserved, AF Off, NOP 10","A=A2B Enabled, Reserved, AF Off, NOP 10",
,,,,"3=A2B Disabled, Reserved, AF Off, NOP 6","B=A2B Enabled, Reserved, AF Off, NOP 6",
727-01-01,xxxx,x*xx,xxxx,"Front Tweeters (FT), Chime Strategy (CS), Active Noise Control (ANC), USB",,
,,,,"0=FT Not Present, CS: North American, ANC Not Present, USB Not Present","8=FT Present, CS: North American, ANC Not Present, USB Not Present",
,,,,"1=FT Not Present, CS: North American, ANC Not Present, USB Present","9=FT Present, CS: North American, ANC Not Present, USB Present",
,,,,"2=FT Not Present, CS: North American, ANC Present, USB Not Present","A=FT Present, CS: North American, ANC Present, USB Not Present",
,,,,"3=FT Not Present, CS: North American, ANC Present, USB Present","B=FT Present, CS: North American, ANC Present, USB Present",
,,,,"4=FT Not Present, CS: CIMCA, ANC Not Present, USB Not Present","C=FT Present, CS: CIMCA, ANC Not Present, USB Not Present",
,,,,"5=FT Not Present, CS: CIMCA, ANC Not Present, USB Present","D=FT Present, CS: CIMCA, ANC Not Present, USB Present",
,,,,"6=FT Not Present, CS: CIMCA, ANC Present, USB Not Present","E=FT Present, CS: CIMCA, ANC Present, USB Not Present",
,,,,"7=FT Not Present, CS: CIMCA, ANC Present, USB Present","F=FT Present, CS: CIMCA, ANC Present, USB Present",
727-01-01,xxxx,xx*x,xxxx,"Reserved, PS Field [configuration only applies to RBDS] (PS), On-Demand Lamp (ODL)",,
,,,,"0=Reserved, PS Not Available, ODL Disabled","4=Reserved, PS Available, ODL Disabled",
