Address,Byte Values,,,"Body Control Module BCM 726-XX-XX (JU5T-AA*, BA*, CA*, DA*, EA*, FA, GA*, GG*, HA*)",,Notes
,,,,Alarms,,
726-01-01,x*xx,xxxx,xxxx,Alarm Sound Cfg,"0=Vehicle Horn, 1=Vehicle Horn BBS, 2=Vehicle Horn Security Horn",
726-01-01,xxx*,xxxx,xxxx,Crash Enable Cfg,"0=Disabled, 1=Enabled",
726-01-01,xxxx,x*xx,xxxx,Crash Spinout Enable Cfg,"0=Disabled, 1=Enabled",
726-01-01,xxxx,xxx*,xxxx,Horn Sound Cfg,"0=Off, 1=On",
726-01-01,xxxx,xxxx,x*xx,PA Trailer Connect Cfg,"0=Disabled, 1=Enabled",
726-01-02,**xx,xxxx,xxxx,PA Max Activation Cfg,(count),
726-01-02,xxx*,xxxx,xxxx,Panic Alarm,"0=Lights & Horn, 1=Lights Only",
726-01-02,xxxx,x*xx,xxxx,Panic Timeout Enable Cfg,"0=Disabled, 1=Enabled",
726-01-02,xxxx,xxx*,xxxx,Perimeter Alarm Cfg,"0=Disabled, 1=Enabled",
726-01-02,xxxx,xxxx,x*xx,BBS Vehicle Horn Sound Cfg,"0=BBS Only, 1=Both",
,,,,Alarms,,
726-02-01,x*xx,xxxx,xxxx,Retrigger Cfg,"0=Disabled, 1=Enabled",
726-02-01,xx**,xxxx,xxxx,Retrigger Time Cfg,(sec),
726-02-01,xxxx,x*xx,xxxx,Security Cfg,"0=None, 1=Both, 2=Inclination, 3=Intrusion",
726-02-01,xxxx,xxx*,xxxx,Vehicle Top Cfg,"0=Convertible, 1=Coupe",
726-02-01,xxxx,xxxx,x*xx,Piezo SounderHw Cfg,"0=Absent, 1=Present",
726-02-02,x*xx,xxxx,xxxx,Rear Trim Switch Cfg,"0=Absent, 1=Present",
726-02-02,xxx*,xxxx,xxxx,OBDProtech Enable Cfg,"0=Disabled, 1=Enabled",
,,,,Body Manufacture Mode,,
726-03-01,x*xx,,,Body Manufacture Mode Cfg,"0=Build, 1=Normal, 2=Transport",
,,,,Battery Management System (BMS),,
726-04-01,**xx,xxxx,xxxx,BMS Battery Type Cfg,See Chart,
726-04-01,xxx*,xxxx,xxxx,BMS InCar Cfg,"0=none, 1=LIN, 2=PWM",
726-04-01,xxxx,x*xx,xxxx,BMS Transport Sleep Cfg,"0=Disabled, 1=Enabled",
726-04-01,xxxx,xx**,xxxx,BMS Capacity Clip Cfg,(Ah),
726-04-01,xxxx,xxxx,**xx,BMS Climate Fan Speed Limit Cfg,(Detents),
726-04-02,**xx,xxxx,xxxx,BMS Climate Fan Speed Limit Rear Cfg,(Detents),
726-04-02,xx**,xxxx,xxxx,BMS Climate Fan Speed Power Limit Cfg,(Detents),
726-04-02,xxxx,**xx,xxxx,BMS Climate Fan Speed Power Limit Rear Cfg,(Detents),
726-04-02,xxxx,xx**,xxxx,BMS Coolant Fan Step Limit Cfg,(NA),
,,,,Battery Management System (BMS),,
726-05-01,****,xxxx,xxxx,BMS Drain LSoff Cfg,(percent),
726-05-01,xxxx,x*xx,xxxx,BMS EPAS Load Shed In Car Cfg,"0=Disabled, 1=Enabled",
726-05-01,xxxx,xxx*,xxxx,BMS Feature Max Cfg,(counts),
726-05-01,xxxx,xxxx,x*xx,BMS Load Shed Vehicle Type Cfg,(NA),
726-05-02,x*xx,xxxx,xxxx,BMS Refresh Function Active Cfg,"0=False, 1=True",
726-05-02,xxx*,xxxx,xxxx,BMS Shed Timer Enable Cfg,"0=Disabled, 1=Enabled",
726-05-02,xxxx,x*xx,xxxx,BMS IVT Sensor Cfg,"0=ACC, 1=BMS, 2=None",
,,,,Battery Management System (BMS),,
726-06-01,****,xxxx,xxxx,BMS SOC Critical Cfg,(percent),
726-06-01,xxxx,****,xxxx,BMS SOC LSoff Cfg,(percent),
726-06-01,xxxx,xxxx,**xx,BMS SOC Max Cfg,(percent),
726-06-02,**xx,xxxx,xxxx,,,
726-06-02,xx**,**xx,xxxx,BMS SOC Off Cfg,(percent),
726-06-02,xxxx,xxx*,xxxx,BMS SOCQF Check Enable,"0=Disable, 1=Enable, 2=Disable2",
,,,,Battery Management System (BMS),,
726-07-01,xxxx,****,xxxx,BMS Start Delay Time Cfg,(ms),
726-07-01,xxxx,xxxx,**xx,BMS Target SOC Cfg,(percent),
726-07-02,**xx,xxxx,xxxx,,,
726-07-02,xxxx,xx**,**xx,BMS Time LSoff Cfg,(sec),
,,,,Interface to RTM,,
726-08-01,x*xx,xxxx,xxxx,Tire Pressure Monitor,"0=Disabled, 1=Enabled",
726-08-01,xxx*,xxxx,xxxx,RF Transceiver Type,"0=None, 1=External, 2=Internal",
726-08-01,xxxx,x*xx,xxxx,Police Silent Mode DRL,"0=Null, 1=Disable DRL",
726-08-01,xxxx,xx**,**xx,Noit Defined,,
726-08-02,xxxx,xxxx,xxxx,Noit Defined,,
,,,,Body Features,,
726-09-01,****,****,**xx,VIN #,VIN #: (character 1-5 of VIN in ASCII converted to Hex),
726-09-02,**xx,,,VIN #,VIN #: (character 6 of VIN in ASCII converted to Hex),
726-10-01,****,****,**xx,VIN #,VIN #: (character 7-11 of VIN in ASCII converted to Hex),
726-10-02,**xx,,,VIN #,VIN #: (character 12 of VIN in ASCII converted to Hex),
726-11-01,****,****,**xx,VIN #,VIN #: (character 13-17 of VIN in ASCII converted to Hex),
,,,,Body Features,,
726-12-01,****,xxxx,xxxx,Axle Ratio,(hex),
726-12-01,xxxx,****,xxxx,Tire Circumference (hex),HEX=DECx1+100=Value (cm)x0.393701=Value (in),
726-12-01,xxxx,xxxx,**xx,RCM Aux ID,(value),
726-12-02,**xx,,,,,
,,,,Body Features,,
726-13-01,*xxx,xxxx,xxxx,Forward Collision Warning,(NA),
726-13-01,x**x,xxxx,xxxx,Engine Fuel Capability,"08=Gas, 10=Diesel, 18=Gas Elec HEV, 20=Hydro Cell, 28=Diesel Elec HEV, 30=Comp Natural Gas, 38=Electric",
726-13-01,xxx*,xxxx,xxxx,Cruise Control,"8=Normal CC, C=Adaptive CC",
726-13-01,xxxx,*xxx,xxxx,Collision Mitigation By Braking,(NA),
726-13-01,xxxx,x*xx,xxxx,Keyless Entry And Start,(NA),
726-13-01,xxxx,xx*x,xxxx,Four Wheel Drive Type,"4=Standard 4x4, 8=4x4 Auto",
726-13-01,xxxx,xxx*,*xxx,Steering Wheel Location & Gearbox Type,"0=Manual, 1=Auto",
726-13-02,xxxx,,,Not Defined,,
,,,,Body Features,,
726-14-01,****,xxxx,xxxx,Electrical System Delay Time Cfg,(sec),
726-14-01,xxxx,x*xx,xxxx,Electric Charge Port Present Cfg,"0=Not Present, 1=Present",
726-14-01,xxxx,xxx*,xxxx,ESCL Enable Cfg,"0=Disabled, 1=Enabled",
726-14-01,xxxx,xxxx,x*xx,ESCL Factory Lock Cfg,"1=Lock, 2=Unlock",
726-14-02,**xx,xxxx,xxxx,Feature Cfg Auto Lamps Delay [person1],(seconds converted to hex),
726-14-02,xx**,xxxx,xxxx,Feature Cfg Auto Lamps Delay [person2],(seconds converted to hex),
726-14-02,xxxx,**xx,xxxx,Feature Cfg Auto Lamps Delay [person3],(seconds converted to hex),
726-14-02,xxxx,xx**,xxxx,Feature Cfg Auto Lamps Delay [person4],(seconds converted to hex),
726-14-02,xxxx,xxxx,**xx,Feature Cfg Auto Lamps Delay [vehicle],(seconds converted to hex),
,,,,Body Features,,
726-15-01,x*xx,xxxx,xxxx,Feature Cfg Auto Lock [person1],"0=Disabled, 1=Enabled, 2=Inop",
726-15-01,xxx*,xxxx,xxxx,Feature Cfg Auto Lock [person2],"0=Disabled, 1=Enabled, 2=Inop",
726-15-01,xxxx,x*xx,xxxx,Feature Cfg Auto Lock [person3],"0=Disabled, 1=Enabled, 2=Inop",
726-15-01,xxxx,xxx*,xxxx,Feature Cfg Auto Lock [person4],"0=Disabled, 1=Enabled, 2=Inop",
726-15-01,xxxx,xxxx,x*xx,Feature Cfg Auto Lock [vehicle],"0=Disabled, 1=Enabled, 2=Inop",
726-15-02,x*xx,xxxx,xxxx,Feature Cfg Auto Relock [person1],"0=Disabled, 1=Enabled, 2=Inop",
726-15-02,xxx*,xxxx,xxxx,Feature Cfg Auto Relock [person2],"0=Disabled, 1=Enabled, 2=Inop",
726-15-02,xxxx,x*xx,xxxx,Feature Cfg Auto Relock [person3],"0=Disabled, 1=Enabled, 2=Inop",
726-15-02,xxxx,xxx*,xxxx,Feature Cfg Auto Relock [person4],"0=Disabled, 1=Enabled, 2=Inop",
726-15-02,xxxx,xxxx,x*xx,Feature Cfg Auto Relock [vehicle],"0=Disabled, 1=Enabled, 2=Inop",
,,,,Body Features,,
726-16-01,x*xx,xxxx,xxxx,Feature Cfg Auto Unlock [person1],"0=Disabled, 1=Enabled, 2=Inop",
726-16-01,xxx*,xxxx,xxxx,Feature Cfg Auto Unlock [person2],"0=Disabled, 1=Enabled, 2=Inop",
726-16-01,xxxx,x*xx,xxxx,Feature Cfg Auto Unlock [person3],"0=Disabled, 1=Enabled, 2=Inop",
726-16-01,xxxx,xxx*,xxxx,Feature Cfg Auto Unlock [person4],"0=Disabled, 1=Enabled, 2=Inop",
726-16-01,xxxx,xxxx,x*xx,Feature Cfg Auto Unlock [vehicle],"0=Disabled, 1=Enabled, 2=Inop",
726-16-02,x*xx,xxxx,xxxx,Feature Cfg DRL by Auto Lamps [person1],"0=Disabled, 1=Enabled, 2=Inop",
726-16-02,xxx*,xxxx,xxxx,Feature Cfg DRL by Auto Lamps [person2],"0=Disabled, 1=Enabled, 2=Inop",
726-16-02,xxxx,x*xx,xxxx,Feature Cfg DRL by Auto Lamps [person3],"0=Disabled, 1=Enabled, 2=Inop",
726-16-02,xxxx,xxx*,xxxx,Feature Cfg DRL by Auto Lamps [person4],"0=Disabled, 1=Enabled, 2=Inop",
726-16-02,xxxx,xxxx,x*xx,Feature Cfg DRL by Auto Lamps [vehicle],"0=Disabled, 1=Enabled, 2=Inop",
,,,,Body Features,,
726-17-01,x*xx,xxxx,xxxx,Feature Cfg Global Close [person1],"0=Disabled, 1=Enabled, 2=Inop",
726-17-01,xxx*,xxxx,xxxx,Feature Cfg Global Close [person2],"0=Disabled, 1=Enabled, 2=Inop",
726-17-01,xxxx,x*xx,xxxx,Feature Cfg Global Close [person3],"0=Disabled, 1=Enabled, 2=Inop",
726-17-01,xxxx,xxx*,xxxx,Feature Cfg Global Close [person4],"0=Disabled, 1=Enabled, 2=Inop",
726-17-01,xxxx,xxxx,x*xx,Feature Cfg Global Close [vehicle],"0=Disabled, 1=Enabled, 2=Inop",
726-17-02,x*xx,xxxx,xxxx,Feature Cfg Global Open [person1],"0=Disabled, 1=Enabled, 2=Inop",
726-17-02,xxx*,xxxx,xxxx,Feature Cfg Global Open [person2],"0=Disabled, 1=Enabled, 2=Inop",
726-17-02,xxxx,x*xx,xxxx,Feature Cfg Global Open [person3],"0=Disabled, 1=Enabled, 2=Inop",
726-17-02,xxxx,xxx*,xxxx,Feature Cfg Global Open [person4],"0=Disabled, 1=Enabled, 2=Inop",
726-17-02,xxxx,xxxx,x*xx,Feature Cfg Global Open [vehicle],"0=Disabled, 1=Enabled, 2=Inop",
,,,,Body Features,,
726-18-01,x*xx,xxxx,xxxx,Feature Cfg Mislock Horn [person1],"0=Disabled, 1=Enabled, 2=Inop",
