Address,Values,,,Description,,
726-01-01,x*xx,xxxx,xxxx,"Alarm Sound Cfg: 0=Vehicle Horn, 1=Vehicle Horn BBS, 2=Vehicle Horn Security Horn",Alarms,
726-01-01,xxx*,xxxx,xxxx,"Crash Enable Cfg: 0=disabled, 1=enabled",,
726-01-01,xxxx,x*xx,xxxx,"Crash Spinout Enable Cfg: 0=disabled, 1=enabled",,
726-01-01,xxxx,xxx*,xxxx,"Horn Sound Cfg: 0=off, 1=on",,
726-01-01,xxxx,xxxx,x*xx,"PA Trailer Connect Cfg: 0=disable, 1=enable",,
726-01-02,**xx,xxxx,xxxx,PA Max Activation Cfg,,
726-01-02,xxx*,xxxx,xxxx,"Panic alarm: 0=lights & horn, 1=lights only",,
726-01-02,xxxx,x*xx,xxxx,"Panic Timeout Enable Cfg: 0=disable, 1=enable",,
726-01-02,xxxx,xxx*,xxxx,"Perimeter Alarm: 0=disabled, 1=enabled",,
726-02-01,x*xx,xxxx,xxxx,"Retrigger Cfg: 0=disabled, 1=enabled",,
726-02-01,xx**,xxxx,xxxx,Retrigger Time Cfg,,
726-02-01,xxxx,x*xx,xxxx,"Security Cfg: 0=none, 1=both, 2=inclination, 3=intrusion",,
726-02-01,xxxx,xxx*,xxxx,"Vehicle Top Cfg: 0=Convertible, 1=Coupe",,
726-02-01,xxxx,xxxx,x*xx,"Piezo SounderHw Cfg: 0=absent, 1=present",,
726-02-02,x*xx,xxxx,xxxx,"Rear Trim Switch Cfg: 0=absent, 1=present",,
726-02-02,xxx*,xxxx,xxxx,"OBDProtech Enable Cfg: 0=disable, 1=enable",,
726-03-01,x*xx,,,"Factory Mode: 0=enabled, 1=disabled",,
726-04-01,**xx,xxxx,xxxx,BMS Battery Type Cfg,DanMc85's findings,
,,,,Battery Type Chart (from PlatinumOwner's spreadsheet),,
726-04-01,xxx*,xxxx,xxxx,"BMS InCar Cfg: 0=none, 1=LIN, 2=PWM",,
726-04-01,xxxx,x*xx,xxxx,"BMS Transport Sleep Cfg: 0=disable, 1=enable",,
726-04-01,xxxx,xx**,xxxx,BMS Capacity Clip Cfg,,
726-04-01,xxxx,xxxx,**xx,BMS Climate Fan Speed Limit Cfg,,
726-04-02,**xx,xxxx,xxxx,BMS Climate Fan Speed Limit Rear Cfg,,
726-04-02,xx**,xxxx,xxxx,BMS Climate Fan Speed Power Limit Cfg,,
726-04-02,xxxx,**xx,xxxx,BMS Climate Fan Speed Power Limit Rear Cfg,,
726-04-02,xxxx,xx**,xxxx,BMS Coolant Fan Step Limit Cfg,,
726-05-01,****,xxxx,xxxx,BMS Drain LSoff Cfg,,
726-05-01,xxxx,x*xx,xxxx,"BMS EPAS Load Shed In Car Cfg: 0=disable, 1=enable",,
726-05-01,xxxx,xxx*,xxxx,BMS Feature Max Cfg,,
726-05-01,xxxx,xxxx,x*xx,BMS Load Shed Vehicle Type Cfg,,
726-05-02,x*xx,xxxx,xxxx,"BMS Refresh Function Active Cfg: 0=false, 1=true",,
726-05-02,xxx*,xxxx,xxxx,"BMS Shed Timer Enable Cfg: 0=disable, 1=enable",,
726-05-02,xxxx,x*xx,xxxx,"BMS IVT Sensor Cfg: 0=ACC, 1=BMS, 2=None",,
726-06-01,****,xxxx,xxxx,BMS SOC Critical Cfg,,
726-06-01,xxxx,****,xxxx,BMS SOC LSoff Cfg,,
726-06-01,xxxx,xxxx,**xx,BMS SOC Max Cfg,,
726-06-02,**xx,xxxx,xxxx,,,
726-06-02,xx**,**xx,xxxx,BMS SOC Off Cfg,,
726-06-02,xxxx,xxx*,xxxx,"BMS SOCQF Check Enable: 0=Disable, 1=Enable, 2=Disable2",,
726-07-01,0000,1388,05D5,,,
726-07-01,xxxx,****,xxxx,BMS Start Delay Time Cfg,,
726-07-01,xxxx,xxxx,**xx,BMS Target SOC Cfg,,
726-07-02,**xx,xxxx,xxxx,,,
726-07-02,xxxx,xx**,**xx,BMS Time LSoff Cfg,,
726-08-01,0101,0000,0038,,,
726-08-01,x*xx,xxxx,xxxx,"Tire Pressure Monitor: 0=disabled, 1=enabled",,
726-08-01,xxx*,xxxx,xxxx,"RF Transceiver Type: 0=none, 1=external, 2=internal",,
726-08-02,0000,0000,0037,,,
726-09-01,****,****,**xx,VIN #: (first 5 characters in ASCII converted to Hex),,
726-09-02,**xx,,,VIN #: (character 6 of VIN in ASCII converted to Hex),,
726-10-01,****,****,**xx,VIN #: (characters 7-11 in ASCII converted to Hex),,
726-10-02,**xx,,,VIN #: (character 12 in ASCII converted to Hex),,
726-11-01,****,****,**xx,VIN #: (last 5 characters in ASCII converted to Hex),,
726-12-01,x***,xxxx,xxxx,"Axle Ratio: 13B=3.15, 14B=3.31, 163=3.55, 175=3.73, 19A=4.10, 1C8=4.56",,
726-12-01,xxxx,ABCD,xxxx,Tire Circumference (for speedometer calibration) **changing this will to cause DTC in PCM and will cause wrench icon on dash on 2017s**,Spart's findings 10/20/16,
,,,,** Change ABCD to the calculated value from the link below **,,
,,,,follow this link for the ABCD calculation,,
,,,,Click here for PCM/TCM relearn if you have DTC P160A/wrench icon,,
,,,,User-submitted values for specific mfg/model tires here,,
726-12-01,xxxx,xxxx,**xx,RCM Aux ID,,
726-12-02,**xx,,,,,
726-13-01,*xxx,xxxx,xxxx,Forward Collision Warning,,
726-13-01,x**x,xxxx,xxxx,"Engine Fuel Capability: 08=Gas, 10=Diesel, 18=Gas Elec HEV, 20=Hydro Cell, 28=Diesel Elec HEV, 30=Comp Natural Gas, 38=Electric",,
726-13-01,xxx*,xxxx,xxxx,"Cruise Control: 8=normal CC, C=adaptive CC",,
726-13-01,xxxx,*xxx,xxxx,Collision Mitigation By Braking,,
