2018 DSP,,,,,
,,,,,
783-01-01,*xxx,xxxx,Chime Diagnostics (CD) & APIM (log/don't log missing messages) & Reserved3 & ANC,,
,,,"0=CD disabled, APIM don't log, reserved, ANC disabled","8=CD enabled, APIM don't log, reserved, ANC disabled",
,,,"1=CD disabled, APIM don't log, reserved, ANC enabled","9=CD enabled, APIM don't log, reserved, ANC enabled",
,,,"2=CD disabled, APIM don't log, reserved, ANC disabled","A=CD enabled, APIM don't log, reserved, ANC disabled",
,,,"3=CD disabled, APIM don't log, reserved, ANC enabled","B=CD enabled, APIM don't log, reserved, ANC enabled",
,,,"4=CD disabled, APIM log, reserved, ANC disabled","C=CD enabled, APIM log, reserved, ANC disabled",
,,,"5=CD disabled, APIM log, reserved, ANC enabled","D=CD enabled, APIM log, reserved, ANC enabled",
,,,"6=CD disabled, APIM log, reserved, ANC disabled","E=CD enabled, APIM log, reserved, ANC disabled",
,,,"7=CD disabled, APIM log, reserved, ANC enabled","F=CD enabled, APIM log, reserved, ANC enabled",
783-01-01,x*xx,xxxx,Chimes (North America/CIMCA strat) & Rear Center Speaker (RCS) & Start/Stop Vehicle (SSV) & Reserved,,
,,,"0=Chimes NA Strat, RCS present, SSV no, reserved","0=Chimes CIMCA Strat, RCS present, SSV no, reserved",
,,,"1=Chimes NA Strat, RCS present, SSV no, reserved","1=Chimes CIMCA Strat, RCS present, SSV no, reserved",
,,,"2=Chimes NA Strat, RCS present, SSV yes, reserved","2=Chimes CIMCA Strat, RCS present, SSV yes, reserved",
,,,"3=Chimes NA Strat, RCS present, SSV yes, reserved","3=Chimes CIMCA Strat, RCS present, SSV yes, reserved",
,,,"4=Chimes NA Strat, RCS  not present, SSV no, reserved","4=Chimes CIMCA Strat, RCS  not present, SSV no, reserved",
,,,"5=Chimes NA Strat, RCS  not present, SSV no, reserved","5=Chimes CIMCA Strat, RCS  not present, SSV no, reserved",
,,,"6=Chimes NA Strat, RCS  not present, SSV yes, reserved","6=Chimes CIMCA Strat, RCS  not present, SSV yes, reserved",
,,,"7=Chimes NA Strat, RCS  not present, SSV yes, reserved","7=Chimes CIMCA Strat, RCS  not present, SSV yes, reserved",
783-01-01,xx*x,xxxx,"VSS Default (0=NA markets, 1=EU markets) & Turn Signal Chimes (TSC) & Convertible & Reserved1",,
,,,"0=VSS 0, TSC disabled, Convertible not present, reserved","8=VSS 1, TSC disabled, Convertible not present, reserved",
,,,"1=VSS 0, TSC disabled, Convertible not present, reserved","9=VSS 1, TSC disabled, Convertible not present, reserved",
,,,"2=VSS 0, TSC disabled, Convertible present, reserved","A=VSS 1, TSC disabled, Convertible present, reserved",
,,,"3=VSS 0, TSC disabled, Convertible present, reserved","B=VSS 1, TSC disabled, Convertible present, reserved",
,,,"4=VSS 0, TSC enabled, Convertible not present, reserved","C=VSS 1, TSC enabled, Convertible not present, reserved",
,,,"5=VSS 0, TSC enabled, Convertible not present, reserved","D=VSS 1, TSC enabled, Convertible not present, reserved",
,,,"6=VSS 0, TSC enabled, Convertible present, reserved","E=VSS 1, TSC enabled, Convertible present, reserved",
,,,"7=VSS 0, TSC enabled, Convertible present, reserved","F=VSS 1, TSC enabled, Convertible present, reserved",
783-01-01,xxx*,xxxx,Front Mid Range (FMR) & Rear Tweeter (RT) & Reserved2 & TCU,,
,,,"0=FMR present, RT present, reserved, TCU not present","8=FMR not present, RT present, reserved, TCU not present",
,,,"1=FMR present, RT present, reserved, TCU present","9=FMR not present, RT present, reserved, TCU present",
,,,"2=FMR present, RT present, reserved, TCU not present","A=FMR not present, RT present, reserved, TCU not present",
,,,"3=FMR present, RT present, reserved, TCU present","B=FMR not present, RT present, reserved, TCU present",
,,,"4=FMR present, RT not present, reserved, TCU not present","C=FMR not present, RT not present, reserved, TCU not present",
,,,"5=FMR present, RT not present, reserved, TCU present","D=FMR not present, RT not present, reserved, TCU present",
,,,"6=FMR present, RT not present, reserved, TCU not present","E=FMR not present, RT not present, reserved, TCU not present",
,,,"7=FMR present, RT not present, reserved, TCU present","F=FMR not present, RT not present, reserved, TCU present",
783-01-01,xxxx,*xxx,EFP (EFP log missing messages/ICP don't log missing messages) & Reserved4 (R4) & Reserved5 (R5) & Reserved6 (R6),,
,,,"0=EFP EFP, R4 reserved, R5 reserved, R6 reserved","8=EFP ICP, R4 reserved, R5 reserved, R6 reserved",
,,,"1=EFP EFP, R4 reserved, R5 reserved, R6 reserved","9=EFP ICP, R4 reserved, R5 reserved, R6 reserved",
,,,"2=EFP EFP, R4 reserved, R5 reserved, R6 reserved","A=EFP ICP, R4 reserved, R5 reserved, R6 reserved",
,,,"3=EFP EFP, R4 reserved, R5 reserved, R6 reserved","B=EFP ICP, R4 reserved, R5 reserved, R6 reserved",
,,,"4=EFP EFP, R4 reserved, R5 reserved, R6 reserved","C=EFP ICP, R4 reserved, R5 reserved, R6 reserved",
,,,"5=EFP EFP, R4 reserved, R5 reserved, R6 reserved","D=EFP ICP, R4 reserved, R5 reserved, R6 reserved",
,,,"6=EFP EFP, R4 reserved, R5 reserved, R6 reserved","E=EFP ICP, R4 reserved, R5 reserved, R6 reserved",
,,,"7=EFP EFP, R4 reserved, R5 reserved, R6 reserved","F=EFP ICP, R4 reserved, R5 reserved, R6 reserved",
783-01-01,xxxx,x*xx,Reserved7 (R7) & Reserved8 (R8) & Reserved9 (R9) & Reserved10 (R10),,
,,,"0=R7 reserved, R8 reserved, R9 reserved, R10 reserved","8=R7 reserved, R8 reserved, R9 reserved, R10 reserved",
,,,"1=R7 reserved, R8 reserved, R9 reserved, R10 reserved","9=R7 reserved, R8 reserved, R9 reserved, R10 reserved",
,,,"2=R7 reserved, R8 reserved, R9 reserved, R10 reserved","A=R7 reserved, R8 reserved, R9 reserved, R10 reserved",
,,,"3=R7 reserved, R8 reserved, R9 reserved, R10 reserved","B=R7 reserved, R8 reserved, R9 reserved, R10 reserved",
,,,"4=R7 reserved, R8 reserved, R9 reserved, R10 reserved","C=R7 reserved, R8 reserved, R9 reserved, R10 reserved",
,,,"5=R7 reserved, R8 reserved, R9 reserved, R10 reserved","D=R7 reserved, R8 reserved, R9 reserved, R10 reserved",
,,,"6=R7 reserved, R8 reserved, R9 reserved, R10 reserved","E=R7 reserved, R8 reserved, R9 reserved, R10 reserved",
,,,"7=R7 reserved, R8 reserved, R9 reserved, R10 reserved","F=R7 reserved, R8 reserved, R9 reserved, R10 reserved",
783-02-01,x*xx,,"Vehicle EQ Selection: 0=Unconfigured (default EQ with protection filtering), 1=P552 Super Cab, 2=P552 Crew Cab, 3=CD539N-Edge, 4-7=reserved",,
783-03-01,x*xx,,Audio A2B (Slave 1) Configuration,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
