Address,Byte Values,,,Image Processing Module-A IPMA 706-XX-XX,,Notes
,,,,,,
706-01-01,*xxx,xxxx,xxxx,"Adaptive Front Lighting (AFL), Heater Suppress AHB (HSA), 
WS Shed Config (WSC), Sensor Blocked Warning Config (SBW)",,
,,,,"0=AFL Not Present, HSA False, WSC Disabled, SBW Disabled","8=AFL Present, HSA False, WSC Disabled, SBW Disabled",
,,,,"1=AFL Not Present, HSA False, WSC Disabled, SBW Enabled","9=AFL Present, HSA False, WSC Disabled, SBW Enabled",
,,,,"2=AFL Not Present, HSA False, WSC Enabled, SBW Disabled","A=AFL Present, HSA False, WSC Enabled, SBW Disabled",
,,,,"3=AFL Not Present, HSA False, WSC Enabled, SBW Enabled","B=AFL Present, HSA False, WSC Enabled, SBW Enabled",
,,,,"4=AFL Not Present, HSA True, WSC Disabled, SBW Disabled","C=AFL Present, HSA True, WSC Disabled, SBW Disabled",
,,,,"5=AFL Not Present, HSA True, WSC Disabled, SBW Enabled","D=AFL Present, HSA True, WSC Disabled, SBW Enabled",
,,,,"6=AFL Not Present, HSA True, WSC Enabled, SBW Disabled","E=AFL Present, HSA True, WSC Enabled, SBW Disabled",
,,,,"7=AFL Not Present, HSA True, WSC Enabled, SBW Enabled","F=AFL Present, HSA True, WSC Enabled, SBW Enabled",
706-01-01,x*xx,xxxx,xxxx,"Check Warning Config (CWC), Automatic High Beam Factory Config (AHB), 
Lane Departure Warning Factory Config (LDW), Lane Keeping Assist Factory Config (LKA)",,
,,,,"0=CWC Disabled, AHB Disabled, LDW Disabled, LKA Disabled","8=CWC Enabled, AHB Disabled, LDW Disabled, LKA Disabled",
,,,,"1=CWC Disabled, AHB Disabled, LDW Disabled, LKA Enabled","9=CWC Enabled, AHB Disabled, LDW Disabled, LKA Enabled",
,,,,"2=CWC Disabled, AHB Disabled, LDW Enabled, LKA Disabled","A=CWC Enabled, AHB Disabled, LDW Enabled, LKA Disabled",
