Address,Byte Values,,,Image Processing Module-B IPMB 7B1-XX-XX,,Notes
,,,,,,
7B1-01-01,*xxx,xxxx,xxxx,"Drive Side (DS), TBA Enable (TBA), Front Camera Enable (FCE), VSS Sleep (VSS)",,
,,,,"0=DS LeftHand, TBA Disabled, FCE Network, VSS Disabled","8=DS RightHand, TBA Disabled, FCE Network, VSS Disabled",
,,,,"1=DS LeftHand, TBA Disabled, FCE Network, VSS Enabled","9=DS RightHand, TBA Disabled, FCE Network, VSS Enabled",
,,,,"2=DS LeftHand, TBA Disabled, FCE Hardwire, VSS Disabled","A=DS RightHand, TBA Disabled, FCE Hardwire, VSS Disabled",
,,,,"3=DS LeftHand, TBA Disabled, FCE Hardwire, VSS Enabled","B=DS RightHand, TBA Disabled, FCE Hardwire, VSS Enabled",
,,,,"4=DS LeftHand, TBA Enabled, FCE Network, VSS Disabled","C=DS RightHand, TBA Enabled, FCE Network, VSS Disabled",
,,,,"5=DS LeftHand, TBA Enabled, FCE Network, VSS Enabled","D=DS RightHand, TBA Enabled, FCE Network, VSS Enabled",
,,,,"6=DS LeftHand, TBA Enabled, FCE Hardwire, VSS Disabled","E=DS RightHand, TBA Enabled, FCE Hardwire, VSS Disabled",
,,,,"7=DS LeftHand, TBA Enabled, FCE Hardwire, VSS Enabled","F=DS RightHand, TBA Enabled, FCE Hardwire, VSS Enabled",
7B1-01-01,x*xx,xxxx,xxxx,"Rear Camera Type (RCT), Front Camera Type (FCT), Number of Cameras (NOC)",,
,,,,"0=RCT VGA, FCT VGA, NOC 1 Camera","8=RCT MegaPixel, FCT VGA, NOC 1 Camera",
,,,,"1=RCT VGA, FCT VGA, NOC 2 Cameras","9=RCT MegaPixel, FCT VGA, NOC 2 Cameras",
,,,,"2=RCT VGA, FCT VGA, NOC 4 Cameras","A=RCT MegaPixel, FCT VGA, NOC 4 Cameras",
,,,,3=Reserved,B=Reserved,
,,,,"4=RCT VGA, FCT MegaPixel, NOC 1 Camera","C=RCT MegaPixel, FCT MegaPixel, NOC 1 Camera",
,,,,"5=RCT VGA, FCT MegaPixel, NOC 2 Cameras","D=RCT MegaPixel, FCT MegaPixel, NOC 2 Cameras",
,,,,"6=RCT VGA, FCT MegaPixel, NOC 4 Cameras","E=RCT MegaPixel, FCT MegaPixel, NOC 4 Cameras",
,,,,7=Reserved,F=Reserved,
7B1-01-01,xx*x,xxxx,xxxx,Park Assist Type,,
,,,,0=None,8=12 Channel,
,,,,2=4 Channel,A=12 Channel Flank,
,,,,4=8 Channel,,
,,,,6=10 Channel,,
7B1-01-01,xxx*,xxxx,xxxx,Park Assist Display,,
,,,,0=Disabled,,
,,,,1=RearVPA,,
,,,,2=FullVPA,,
,,,,3=OverheadVPA,,
7B1-01-01,xxxx,*xxx,xxxx,VPA Type,,
,,,,0=Camera,,
,,,,1=IPMB,,
7B1-01-01,xxxx,x*xx,xxxx,"SlaveExists FB (SFB), SlaveExists FVC (SFVC), SlaveExists RVC (SRVC)",,
,,,,"0=SFB Not Present, SFVC Not Present, SRVC Not Present","8=SFB Present, SFVC Not Present, SRVC Not Present",
,,,,"2=SFB Not Present, SFVC Not Present, SRVC Present","A=SFB Present, SFVC Not Present, SRVC Present",
,,,,"4=SFB Not Present, SFVC Present, SRVC Not Present","C=SFB Present, SFVC Present, SRVC Not Present",
