"** Unless otherwise noted, below data is for SYNC 3 (ver 1.0)",,,,,,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,24D9,Heated Steering Wheel enabled in climate screen,,Sync 2 must also have Climate Quadrant enabled at                   7D0-04-01 0100 0000 00DD for any seat/HSW icons enabled on home screen,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,20D5,Heated Steering Wheel disabled in climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,26DB,Heated & Cooled Seats enabled - home screen & climate screen,Sync 3,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,26DB,Heated & Cooled Seats & HSW enabled - home screen & climate screen,Sync 3 2.x,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,06BB,Heated & Cooled Seats & HSW enabled - home screen & climate screen,Sync 3,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,27DC,Heated Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,25DA,Cooled Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,23D8,Heated Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,21D6,Cooled Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0503,22D7,Heated & Cooled Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,2xxx,xxxx,xxxx,Sony Sound Processor disabled,DanMc85's findings,,,,,,,,,,,,,,,,,,,
7D0-01-01,x0xx,xxxx,xxxx,"Reverse camera disabled (8"" screen only)",,,,,,,,,,,,,,,,,,,,
7D0-01-01,x2xx,xxxx,xxxx,"Reverse camera enabled (8"" screen only)",,,,,,,,,,,,,,,,,,,,
7D0-01-01,xAxx,xxxx,xxxx,"Reverse camera enabled with Obstacle Detection Vehicle Icon (8"" screen only)",,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxx6,xxxx,Climate menu at bottom disabled,This is what a 2016 XLT Sync3 has,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxx3,xxxx,Climate menu at bottom enabled,also need 7D0-01-02 02A9 0204 8A15 (climate & nav) or,"This won't work on XLT w/climate: Max A/C, Auto mode, Temp (numerical) settings, Fan speed, Max Defrost",,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxx3,23xx,Climate menu & heated seats icons enabled on home screen,"7D0-01-02 0089 0204 82EB (climate, no nav)",,,,,,,,,,,,,,,,,,,
7D0-01-01,AA2A,0903,24DD,"no speaker fade option under Settings, Sound",Observed through testing on 6/30/16,,,,,,,,,,,,,,,,,,,
7D0-01-01,AAAA,0503,2459,stereo won't turn on without start/accessory button being pushed.  Sync 2 users: put this to AA2A to enable stereo to be turned on,Observed through testing on 7/4/16,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA4A,0503,24F9,stereo timeout duration of 40 mins without accessories on,Observed through testing on 7/7/16 with Livoniabob,,,,,,,,,,,,,,,,,,,
7D0-01-01,AA6A,0503,2419,stereo timeout duration of 60 mins without accessories on,,,,,,,,,,,,,,,,,,,,
7D0-01-01,*xxx,xxxx,xxxx,"Removes Sirius from audio sources (decrement your value where the asterisk is by 2; if you have an ""A"" make it ""8"", if you have ""2"" make it ""0"")",jm061's findings 8-24-16,,,,,,,,,,,,,,,,,,,
7D0-01-02,x4xx,xxxx,xxxx,NAV enabled (Sync 2),,,,,,,,,,,,,,,,,,,,
7D0-01-02,028B,0204,8BF8,NAV enabled,,,,,,,,,,,,,,,,,,,,
7D0-01-02,008B,0204,8BF6,NAV disabled,,,,,,,,,,,,,,,,,,,,
7D0-01-02,828B,0204,8BF6,Lincoln splash screen at boot on Sync 3,Observed through testing on 6/19/16,Pic,,,,,,,,,,,,,,,,,,
7D0-01-02,018B,0204,8BF7,"NAV icon absent, compass appeared home screen",Observed through testing on 6/5/16,,,,,,,,,,,,,,,,,,,
7D0-01-02,008B,0204,8BF6,"NAV icon absent, compass appeared home screen",,,,,,,,,,,,,,,,,,,,
