"TCU Optional Configuration=754-01-01 thru 754-01-02, Sound Device=754-02-01",,,,,,Notes
754-01-01,*xxx,xxxx,xxxx,RF Section (RF) & APIM Type (AT),,
,,,,"0=RF disable, AT not configured","8=RF enable, AT not configured",*=with GNSS antenna connected to EG TCU
,,,,"1=RF disable, AT Gen1 or Gen3 *","9=RF enable, AT Gen1 or Gen3 *",
,,,,"2=RF disable, AT Gen2","A=RF enable, AT Gen2",**=when no GNSS Antenna connected to EG TCU
,,,,"3=RF disable, AT Gen3 **","B=RF enable, AT Gen3 **",
,,,,"4=RF disable, AT no APIM present in vehicle","C=RF enable, AT no APIM present in vehicle",
,,,,"5=RF disable, AT reserved","D=RF enable, AT reserved",
,,,,"6-RF disable, AT reserved","E-RF enable, AT reserved",
,,,,"7=RF disable, AT reserved","F=RF enable, AT reserved",
754-01-01,x*xx,xxxx,xxxx,"Engine Type: 0=not configured, 1=Gasoline, 2=Diesel, 3=Gas/Electric Hybrid (FHEV), 4=Hydrogen Fuel Cell, 5=Diesel/Electric Hybrid, 6=Compressed Natural Gas (CNG), 7=Electric Only, 8=Gas/Plug In Electric Vehicle (PHEV), 9-F=reserved",,
754-01-01,xx**,xxxx,xxxx,Vehicle Architecture (VA) & TCU Dest Region (TDR) & Optional Configuration State (OCS),,
,,,,"00=VA not configured, TDR not configured, OCS configured","60=VA CGEA 1.3, TDR not configured, OCS configured",TCA=Transit Connect Architecture
,,,,"01=VA not configured, TDR not configured, OCS not configured","61=VA CGEA 1.3, TDR not configured, OCS not configured",
,,,,"02=VA not configured, TDR North America, OCS configured","62=VA CGEA 1.3, TDR North America, OCS configured",
,,,,"03=VA not configured, TDR North America, OCS not configured","63=VA CGEA 1.3, TDR North America, OCS not configured",
,,,,"04=VA not configured, TDR Russia, OCS configured","64=VA CGEA 1.3, TDR Russia, OCS configured",
,,,,"05=VA not configured, TDR Russia, OCS not configured","65=VA CGEA 1.3, TDR Russia, OCS not configured",
,,,,"06=VA not configured, TDR China, OCS configured","66=VA CGEA 1.3, TDR China, OCS configured",
,,,,"07=VA not configured, TDR China, OCS not configured","67=VA CGEA 1.3, TDR China, OCS not configured",
,,,,"08=VA not configured, TDR EU, OCS configured","68=VA CGEA 1.3, TDR EU, OCS configured",
,,,,"09=VA not configured, TDR EU, OCS not configured","69=VA CGEA 1.3, TDR EU, OCS not configured",
,,,,"0A=VA not configured, TDR South America, OCS configured","6A=VA CGEA 1.3, TDR South America, OCS configured",
,,,,"0B=VA not configured, TDR South America, OCS not configured","6B=VA CGEA 1.3, TDR South America, OCS not configured",
,,,,"0C=VA not configured, TDR Australia, OCS configured","6C=VA CGEA 1.3, TDR Australia, OCS configured",
,,,,"0D=VA not configured, TDR Australia, OCS not configured","6D=VA CGEA 1.3, TDR Australia, OCS not configured",
,,,,"20=VA CGEA 1.1, TDR not configured, OCS configured","80=VA C1MCA, TDR not configured, OCS configured",
,,,,"21=VA CGEA 1.1, TDR not configured, OCS not configured","81=VA C1MCA, TDR not configured, OCS not configured",
,,,,"22=VA CGEA 1.1, TDR North America, OCS configured","82=VA C1MCA, TDR North America, OCS configured",
,,,,"23=VA CGEA 1.1, TDR North America, OCS not configured","83=VA C1MCA, TDR North America, OCS not configured",
,,,,"24=VA CGEA 1.1, TDR Russia, OCS configured","84=VA C1MCA, TDR Russia, OCS configured",
,,,,"25=VA CGEA 1.1, TDR Russia, OCS not configured","85=VA C1MCA, TDR Russia, OCS not configured",
,,,,"26=VA CGEA 1.1, TDR China, OCS configured","86=VA C1MCA, TDR China, OCS configured",
,,,,"27=VA CGEA 1.1, TDR China, OCS not configured","87=VA C1MCA, TDR China, OCS not configured",
,,,,"28=VA CGEA 1.1, TDR EU, OCS configured","88=VA C1MCA, TDR EU, OCS configured",
,,,,"29=VA CGEA 1.1, TDR EU, OCS not configured","89=VA C1MCA, TDR EU, OCS not configured",
,,,,"2A=VA CGEA 1.1, TDR South America, OCS configured","8A=VA C1MCA, TDR South America, OCS configured",
,,,,"2B=VA CGEA 1.1, TDR South America, OCS not configured","8B=VA C1MCA, TDR South America, OCS not configured",
,,,,"2C=VA CGEA 1.1, TDR Australia, OCS configured","8C=VA C1MCA, TDR Australia, OCS configured",
,,,,"2D=VA CGEA 1.1, TDR Australia, OCS not configured","8D=VA C1MCA, TDR Australia, OCS not configured",
,,,,"40=VA CGEA 1.2, TDR not configured, OCS configured","A0=VA TCA, TDR not configured, OCS configured",
,,,,"41=VA CGEA 1.2, TDR not configured, OCS not configured","A1=VA TCA, TDR not configured, OCS not configured",
,,,,"42=VA CGEA 1.2, TDR North America, OCS configured","A2=VA TCA, TDR North America, OCS configured",
,,,,"43=VA CGEA 1.2, TDR North America, OCS not configured","A3=VA TCA, TDR North America, OCS not configured",
,,,,"44=VA CGEA 1.2, TDR Russia, OCS configured","A4=VA TCA, TDR Russia, OCS configured",
