IPMB-2018 (JL3V),,,,,,
,,,,,,
7B1-01-01,*xxx,xxxx,xxxx,Drive Side (DS) & TBA Enable (TBA) & Front Camera Enable (FCE) & Vss Sleep (VSS),,
,,,,"0=DS LeftHand, TBA disabled, FCE network, VSS disabled","8=DS RightHand, TBA disabled, FCE network, VSS disabled",
,,,,"1=DS LeftHand, TBA disabled, FCE network, VSS enabled","9=DS RightHand, TBA disabled, FCE network, VSS enabled",
,,,,"2=DS LeftHand, TBA disabled, FCE hardwire, VSS disabled","A=DS RightHand, TBA disabled, FCE hardwire, VSS disabled",
,,,,"3=DS LeftHand, TBA disabled, FCE hardwire, VSS enabled","B=DS RightHand, TBA disabled, FCE hardwire, VSS enabled",
,,,,"4=DS LeftHand, TBA enabled, FCE network, VSS disabled","C=DS RightHand, TBA enabled, FCE network, VSS disabled",
,,,,"5=DS LeftHand, TBA enabled, FCE network, VSS enabled","D=DS RightHand, TBA enabled, FCE network, VSS enabled",
,,,,"6=DS LeftHand, TBA enabled, FCE hardwire, VSS disabled","E=DS RightHand, TBA enabled, FCE hardwire, VSS disabled",
,,,,"7=DS LeftHand, TBA enabled, FCE hardwire, VSS enabled","F=DS RightHand, TBA enabled, FCE hardwire, VSS enabled",
7B1-01-01,x*xx,xxxx,xxxx,Rear Camera Type (RCT) & Front Camera Type (FCT) & Number of Cameras (NOC),,
,,,,"0=RCT VGA, FCT VGA, NOC 1 camera","8=RCT MegaPixel, FCT VGA, NOC 1 camera",
,,,,"1=RCT VGA, FCT VGA, NOC 2 cameras","9=RCT MegaPixel, FCT VGA, NOC 2 cameras",
,,,,"2=RCT VGA, FCT VGA, NOC 4 cameras","A=RCT MegaPixel, FCT VGA, NOC 4 cameras",
,,,,"4=RCT VGA, FCT MegaPixel, NOC 1 camera","C=RCT MegaPixel, FCT MegaPixel, NOC 1 camera",
,,,,"5=RCT VGA, FCT MegaPixel, NOC 2 cameras","D=RCT MegaPixel, FCT MegaPixel, NOC 2 cameras",
,,,,"6=RCT VGA, FCT MegaPixel, NOC 4 cameras","E=RCT MegaPixel, FCT MegaPixel, NOC 4 cameras",
7B1-01-01,xx*x,xxxx,xxxx,"Park Assist Type: 0=None, 1=4Channel, 2=8Channel, 3=10Channel, 4=12Channel, 5=12Channel Flank",,
7B1-01-01,xxx*,xxxx,xxxx,"Park Assist Display: 0=disabled, 1=RearVPA, 2=FullVPA, 3=OverheadVPA",,
7B1-01-01,xxx,*xxx,xxxx,"VPA Type: 0=camera, 1=IPMB",,
7B1-01-01,xxxx,x*xx,xxxx,SlaveExists FB (SFB) & SlaveExists FVC (SFVC) & SlaveExists RVC (SRVC),,
,,,,"0=SFB absent, SFVC absent, SRVC absent","8=SFB present, SFVC absent, SRVC absent",
,,,,"2=SFB absent, SFVC absent, SRVC present","A=SFB present, SFVC absent, SRVC present",
,,,,"4=SFB absent, SFVC present, SRVC absent","C=SFB present, SFVC present, SRVC absent",
,,,,"6=SFB absent, SFVC present, SRVC present","E=SFB present, SFVC present, SRVC present",
7B1-01-01,xxxx,xx**,xxxx,LINSel RVC,,
7B1-01-01,xxxx,xxxx,**xx,LINSel FVC,,
7B1-01-02,**xx,xxxx,,"Vehicle Type (VT) & Front Overlay Available (FOA) & Remote Cam (RC)
** F150 is type 17, Raptor is type 45 **",,
,,,,"40=VT F150, FOA disabled, RC absent","B0=VT F150, FOA disabled, RC absent",
,,,,"41=VT F150, FOA disabled, RC present","B1=VT F150, FOA disabled, RC present",
,,,,"42=VT F150, FOA enabled, RC absent","B2=VT F150, FOA enabled, RC absent",
,,,,"43=VT F150, FOA enabled, RC present","B3=VT F150, FOA enabled, RC present",
7B1-02-01,*xxx,xxxx,xxxx,Sync APA Fix (SAPA) & Door Ajar Indicator (DAI) & Rear VPA (RVPA),,
,,,,"0=SAPA off, DAI off, RVPA off","8=SAPA on, DAI off, RVPA off",
,,,,"1=SAPA off, DAI off, RVPA on","9=SAPA on, DAI off, RVPA on",
,,,,"2=SAPA off, DAI off, RVPA LastKnown","A=SAPA on, DAI off, RVPA LastKnown",
,,,,"3=SAPA off, DAI off, RVPA FactoryOff","B=SAPA on, DAI off, RVPA FactoryOff",
,,,,"4=SAPA off, DAI on, RVPA off","C=SAPA on, DAI on, RVPA off",
,,,,"5=SAPA off, DAI on, RVPA on","D=SAPA on, DAI on, RVPA on",
,,,,"6=SAPA off, DAI on, RVPA LastKnown","E=SAPA on, DAI on, RVPA LastKnown",
,,,,"7=SAPA off, DAI on, RVPA FactoryOff","F=SAPA on, DAI on, RVPA FactoryOff",
7B1-02-01,x*xx,xxxx,xxxx,Main Image Content (MIC) & Zoom Level (ZL),,
,,,,"0=MIC off, ZL off","8=MIC LastKnown, ZL off",
,,,,"1=MIC off, ZL on","9=MIC LastKnown, ZL on",
,,,,"2=MIC off, ZL LastKnown","A=MIC LastKnown, ZL LastKnown",
,,,,"3=MIC off, ZL FactoryOff","B=MIC LastKnown, ZL FactoryOff",
,,,,"4=MIC on, ZL off","C=MIC FactoryOff, ZL off",
,,,,"5=MIC on, ZL on","D=MIC FactoryOff, ZL on",
,,,,"6=MIC on, ZL LastKnown","E=MIC FactoryOff, ZL LastKnown",
,,,,"7=MIC on, ZL FactoryOff","F=MIC FactoryOff, ZL FactoryOff",
7B1-02-01,xxx*,xxxx,xxxx,Raptor Mode (RM) & FB Close Behavior (FBCB) & Front Cam Indicator (FCI) & Tailgage Ajar Indicator (TAI),,
,,,,"0=RM disabled, FBCB Null, FCI disabled, TAI off","8=RM enabled, FBCB Null, FCI disabled, TAI off",
,,,,"1=RM disabled, FBCB Null, FCI disabled, TAI on","9=RM enabled, FBCB Null, FCI disabled, TAI on",
,,,,"2=RM disabled, FBCB Null, FCI enabled, TAI off","A=RM enabled, FBCB Null, FCI enabled, TAI off",
,,,,"3=RM disabled, FBCB Null, FCI enabled, TAI on","B=RM enabled, FBCB Null, FCI enabled, TAI on",
,,,,"4=RM disabled, FBCB Neutral, FCI disabled, TAI off","C=RM enabled, FBCB Neutral, FCI disabled, TAI off",
,,,,"5=RM disabled, FBCB Neutral, FCI disabled, TAI on","D=RM enabled, FBCB Neutral, FCI disabled, TAI on",
,,,,"6=RM disabled, FBCB Neutral, FCI enabled, TAI off","E=RM enabled, FBCB Neutral, FCI enabled, TAI off",
,,,,"7=RM disabled, FBCB Neutral, FCI enabled, TAI on","F=RM enabled, FBCB Neutral, FCI enabled, TAI on",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
