736-01-01,*xxx,xxxx,xx,"Body Style: 0=4 Door, 1=5 Door, 2=Wagon, 3=Pick-Up, 4=2 Door, 5=SUV, 6=CUV, 7=Grand, 8=Compact",,
736-01-01,x*xx,xxxx,xx,"Parking Assist Channels: 0=0CH, 3=3CH, 4=4CH, 6=6CH, 7=7CH, 8=8CH, 9=9CH, A=10CH, B=11CH, C=12CH",,
736-01-01,xx*x,xxxx,xx,Engine Fuel (EF) / Gearbox Type (GT),,
,,,,"0=EF not selected, GT manual","8=EF diesel, GT manual",
,,,,"1=EF not selected, GT automatic","9=EF diesel, GT automatic",
,,,,"2=EF not selected, GT CVT","A=EF diesel, GT CVT",
,,,,"4=EF gasoline, GT manual","C=EF Hybrid(HEV), GT manual",
,,,,"5=EF gasoline, GT automatic","D=EF Hybrid(HEV), GT automatic",
,,,,"6=EF gasoline, GT CVT","E=EF Hybrid(HEV), GT CVT",
736-01-01,xxx*,xxxx,xx,Steering Wheel Location (SWL) / Trailer Tow Package (TTP) / Trailer Backup Assist Pkg (TBA) / Towbar,,
,,,,"0=SWL left-hand, TTP not present, TBA not present, Towbar not present","8=SWL right-hand, TTP not present, TBA not present, Towbar not present",
,,,,"1=SWL left-hand, TTP not present, TBA not present, Towbar present","9=SWL right-hand, TTP not present, TBA not present, Towbar present",
,,,,"2=SWL left-hand, TTP not present, TBA present, Towbar not present","A=SWL right-hand, TTP not present, TBA present, Towbar not present",
,,,,"3=SWL left-hand, TTP not present, TBA present, Towbar present","B=SWL right-hand, TTP not present, TBA present, Towbar present",
,,,,"4=SWL left-hand, TTP present, TBA not present, Towbar not present","C=SWL right-hand, TTP present, TBA not present, Towbar not present",
,,,,"5=SWL left-hand, TTP present, TBA not present, Towbar present","D=SWL right-hand, TTP present, TBA not present, Towbar present",
,,,,"6=SWL left-hand, TTP present, TBA present, Towbar not present","E=SWL right-hand, TTP present, TBA present, Towbar not present",
,,,,"7=SWL left-hand, TTP present, TBA present, Towbar present","F=SWL right-hand, TTP present, TBA present, Towbar present",
736-01-01,xxxx,*xxx,xx,APA LED / UPA LED,,
,,,,"0=APA no, UPA no","6=APA yes, UPA dimmable",
,,,,"1=APA no, UPA yes","8=APA dimmable, UPA no",
,,,,"2=APA no, UPA dimmable","9=APA dimmable, UPA yes",
,,,,"4=APA yes, UPA no","A=APA dimmable, UPA dimmable",
,,,,"5=APA yes, UPA yes",,
736-01-01,xxxx,x*xx,xx,"APA Button, UPA Button",,
,,,,"0=APA SoftMenu/No Button, UPA SoftMenu/No Button","6=APA hard, UPA CAN",
,,,,"1=APA SoftMenu/No Button, UPA hard","8=APA CAN, UPA SoftMenu/No Button",
,,,,"2=APA SoftMenu/No Button, UPA CAN","9=APA CAN, UPA hard",
,,,,"4=APA hard, UPA SoftMenu/No Button","A=APA CAN, UPA CAN",
,,,,"5=APA hard, UPA hard",,
736-01-01,xxxx,xx*x,xx,ECU Type /  Front Speaker (FS) / Rear Speaker (RS),,
,,,,"0=ECU part of BCM, FS disabled, RS disabled","4=ECU standalone, FS disabled, RS disabled",
,,,,"1=ECU part of BCM, FS disabled, RS enabled","5=ECU standalone, FS disabled, RS enabled",
,,,,"2=ECU part of BCM, FS enabled, RS disabled","6=ECU standalone, FS enabled, RS disabled",
,,,,"3=ECU part of BCM, FS enabled, RS enabled","7=ECU standalone, FS enabled, RS enabled",
736-01-01,xxxx,xxx*,xx,Visual Park Aid (VPA) / HMI Display Type,,
,,,,"0=VPA disabled, HMI Legacy","8=VPA enabled, HMI Legacy",
,,,,"1=VPA disabled, HMI Lite","9=VPA enabled, HMI Lite",
