SODL (7C4) & SODR (7C6),,,,,,,,,,,,
,,,,,,,,,,,,
7C4/7C6-01-01,**xx,xxxx,,"9B=with trailer tow, Auto Trans, LH Drive, RPA:yes, BTT:yes",,,,,,,,
,,,,"1B=less trailer tow, Auto Trans, LH Drive, RPA:yes, BTT: yes",,,,,,,,
7C4/7C6-01-01,xxx*,xxxx,,Carconfig & SystemConfigAP & System Config TOWTBM,,,,,,,,
,,,,"0=BLIS/CTA enabled, less autopark, TOWTBM: no",,,,"8=BLIS disabled/CTA enabled, less autopark, TOWTBM: no",,,,
,,,,"1=BLIS/CTA enabled, less autopark, TOWTBM: yes",,,,"9=BLIS disabled/CTA enabled, less autopark, TOWTBM: yes",,,,
,,,,"2=BLIS/CTA enabled, with autopark, TOWTBM: no",,,,"A=BLIS disabled/CTA enabled, with autopark, TOWTBM: no",,,,
,,,,"3=BLIS/CTA enabled, with autopark, TOWTBM: yes",,,,"B=BLIS disabled/CTA enabled, with autopark, TOWTBM: yes",,,,
,,,,"4=BLIS enabled/CTA disabled, less autopark, TOWTBM: no",,,,"C=BLIS disabled/CTA disabled, less autopark, TOWTBM: no",,,,
,,,,"5=BLIS enabled/CTA disabled, less autopark, TOWTBM: yes",,,,"D=BLIS disabled/CTA disabled, less autopark, TOWTBM: yes",,,,
,,,,"6=BLIS enabled/CTA disabled, with autopark, TOWTBM: no",,,,"E=BLIS disabled/CTA disabled, with autopark, TOWTBM: no",,,,
,,,,"7=BLIS enabled/CTA disabled, with autopark, TOWTBM: yes",,,,"F=BLIS disabled/CTA disabled, with autopark, TOWTBM: yes",,,,
,,,,,,,,,,,,
7C4/7C6-05-01,xxxx,xxxx,x0xx,Blockage enabled,,,,,,,,
7C4/7C6-05-01,xxxx,xxxx,x4xx,Blockage disabled,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
