SYNC 3 (x's below indicate values that don't need to be changed for the desired result),,,,,,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxxx,x4xx,Heated Steering Wheel enabled in climate screen,These changes work in Sync 2&3,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxxx,x0xx,Heated Steering Wheel disabled in climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxxx,x6xx,Heated & Cooled Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxxx,x7xx,Heated Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxxx,x5xx,Cooled Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxxx,x3xx,Heated Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxxx,x1xx,Cooled Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxxx,x2xx,Heated & Cooled Seats enabled - home screen & climate screen,,,,,,,,,,,,,,,,,,,,
7D0-01-01,Axxx,xxxx,xxxx,Sony Amplifier,,,,,,,,,,,,,,,,,,,,
7D0-01-01,2xxx,xxxx,xxxx,"Normal Amplifier, Volume animation on Sync 3 screen disabled (on Sony system)",Observed through testing on 6/19/16,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxx6,xxxx,Climate menu at bottom disabled,This is what a 2016 XLT Sync3 has,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,xxx3,xxxx,Climate menu at bottom enabled,also need 7D0-01-02 02A9 0204 8A15 (climate & nav) or,,,,,,,,,,,,,,,,,,,
7D0-01-01,2A2A,0403,2357,Climate menu & heated seats icons enabled on home screen,"7D0-01-02 0089 0204 82EB (climate, no nav)",,,,,,,,,,,,,,,,,,,
7D0-01-01,xxxx,x9xx,xxxx,"no speaker fade option under Settings, Sound",Observed through testing on 6/30/16,,,,,,,,,,,,,,,,,,,
7D0-01-01,xxAx,xxxx,xxxx,stereo won't turn on without start/accessory button being pushed.  Sync 2 users: put this to AA2A to enable stereo to be turned on,Observed through testing on 7/4/16,,,,,,,,,,,,,,,,,,,
7D0-01-01,xx4x,xxxx,xxxx,stereo timeout duration of 40 mins without accessories on,Observed through testing on 7/7/16 with Livoniabob,,,,,,,,,,,,,,,,,,,
7D0-01-01,xx6x,xxxx,xxxx,stereo timeout duration of 60 mins without accessories on,,,,,,,,,,,,,,,,,,,,
7D0-01-02,x2xx,xxxx,xxxx,NAV enabled,,,,,,,,,,,,,,,,,,,,
7D0-01-02,x0xx,xxxx,xxxx,NAV disabled,,,,,,,,,,,,,,,,,,,,
7D0-01-02,8xxx,xxxx,xxxx,Lincoln splash screen at boot on Sync 3,Observed through testing on 6/19/16,Pic,,,,,,,,,,,,,,,,,,
7D0-01-02,xxx9,xxxx,xxxx,Ambient Lighting icon absent,,,,,,,,,,,,,,,,,,,,
7D0-01-02,xxxx,xxxx,xAxx,Multi-Contour Seats icon absent,,,,,,,,,,,,,,,,,,,,
7D0-01-02,xxxx,xxxx,x2xx,Multi-Contour Seats & Sirius Travel Link absent,,,,,,,,,,,,,,,,,,,,
7D0-01-02,xxxx,xxxx,x3xx,Sirius Travel Link absent,,,,,,,,,,,,,,,,,,,,
7D0-02-01,xxxx,xxxx,x3xx,no 360 degree camera views (reverse cameras work),Observed through testing on 6/29/16,,,,,,,,,,,,,,,,,,,
7D0-02-01,xxxx,xxxx,0xxx,Warning Chimes & Info Chimes options show up under Vehicle Icon but are non-functional,Observed through testing on 6/3016,,,,,,,,,,,,,,,,,,,
7D0-02-01,xxxx,xxxx,x7xx,Traction Control & Hill Start Assist options show up under Vehicle icon but are non-functional,,,,,,,,,,,,,,,,,,,,
7D0-02-01,xxxx,xxxx,xAxx,Hill Start Assist option shows up under Vehicle icon but is non-functional,,,,,,,,,,,,,,,,,,,,
7D0-02-01,xxxx,xxxx,x5xx,Traction Control option shows up under Vehicle icon but is non-functional,,,,,,,,,,,,,,,,,,,,
7D0-02-01,x7xx,xxxx,xxxx,911 Assist Icon absent,,,,,,,,,,,,,,,,,,,,
7D0-02-02,1x1x,xxxx,xxxx,Rain Sensor option shows up under Vehicle icon but is non-functional,Observed through testing on 7/4/16,,,,,,,,,,,,,,,,,,,
