** The folloing entries were submitted by users who calibrated their tire size value via a gps app,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Tire Mfg,Model,Size,BCM Value,Notes,Submitted by,,,,,,,,,,,,,,,,,,,,,
BFG,KO2,35x12.5x20,726-12-01 xxxx 0A7F xxxx,,Freeseframe,,,,,,,,,,,,,,,,,,,,,
Nitto,Ridge Grapplers,35x12.5x20,726-12-01 xxxx 0A57 xxxx,,dominatorlp,,,,,,,,,,,,,,,,,,,,,
Toyo,Open Country A/T,35x12.5x20,726-12-01 xxxx 0A8F xxxx,,Kaye Kolb Jr.,,,,,,,,,,,,,,,,,,,,,
Falken,Wildpeak AT3W,35x12.5x20,726-12-01 xxxx 0A3C xxxx,,poohnpia,,,,,,,,,,,,,,,,,,,,,
Toyo,Open Country MT,35x12.5x18,726-12-01 xxxx 0A50 xxxx,,Timc74,,,,,,,,,,,,,,,,,,,,,
Falken,WildPeak MTs,35x12.50x18,726-12-01 xxxx 0A8F xxxx,,Brian V.,,,,,,,,,,,,,,,,,,,,,
Nitto,Ridge Grapplers,35x11.5x20,726-12-01 xxxx 0A3D xxxx,,gonethinkn,,,,,,,,,,,,,,,,,,,,,
Federal,Couragia,37x12.5x20,726-12-01 xxxx 0B86 xxxx,,Maniek-rr312,Note: changed gearing from 3.55 to 4.56,,,,,,,,,,,,,,,,,,,,
BFG,KO2,34x10.5x17,726-12-01 xxxx 09FF xxxx,17x7 (Dually),ZooDad,,,,,,,,,,,,,,,,,,,,,
Toyo,Open Country A/T II,33x12.5x20,726-12-01 xxxx 09F4 xxxx,,baddceo,,,,,,,,,,,,,,,,,,,,,
BFG,KO2,315/70/17,726-12-01 xxxx 0A68 xxxx,,robbieg,,,,,,,,,,,,,,,,,,,,,
BFG,KO2,305/65/18,726-12-01 xxxx 0A21 xxxx,,DeltaNu1142,,,,,,,,,,,,,,,,,,,,,
Falken,Wildpeak A/T3W,295/70/18,726-12-01 xxxx 0A54 xxxx,,anonymous,,,,,,,,,,,,,,,,,,,,,
Nitto,Ridge Grapplers,295/65/20,726-12-01 xxxx 0A08 xxxx,,,,,,,,,,,,,,,,,,,,,,,
Nitto,Ridge Grapplers,295/65/20,726-12-01 xxxx 0A94 xxxx,,KennyCJR,,,,,,,,,,,,,,,,,,,,,
BFG,KO2,285/65/20,726-12-01 xxxx 0A5C xxxx,,YJGUY,,,,,,,,,,,,,,,,,,,,,
Falken,Wildpeak A/T3W,285/65/20,726-12-01 xxxx 0A4C xxxx,,Brian P,,,,,,,,,,,,,,,,,,,,,
Nitto,Ridge Grapplers,285/60/20,726-12-01 xxxx 09F6 xxxx,,firedoug,,,,,,,,,,,,,,,,,,,,,
BFG,KO2,285/70/17,726-12-01 xxxx 09E7 xxxx,,jpeckinp,,,,,,,,,,,,,,,,,,,,,
Kumho,Crugen HP71 XL,285/45/22,726-12-01 xxxx 09AD xxxx,,Alberto R.,,,,,,,,,,,,,,,,,,,,,
Cooper,AT3,275/7018,726-12-01 xxxx 09E7 xxxx,,Scott91370,,,,,,,,,,,,,,,,,,,,,
Falken,Wildpeak A/T3W,275/7018,726-12-01 xxxx 09E7 xxxx,,waphilips,,,,,,,,,,,,,,,,,,,,,
Michelin,LTX A/T2,275/65/20,726-12-01 xxxx 0A45 xxxx,,TX-FJuan50,,,,,,,,,,,,,,,,,,,,,
General,Grabber ATX,275/65/20,726-12-01 xxxx 0A2E xxxx,,Andre N,,,,,,,,,,,,,,,,,,,,,
Nitto,Terra Grapple G,275/65/20,726-12-01 xxxx-0A1C-xxxx,,Justin M,,,,,,,,,,,,,,,,,,,,,
Cooper,Discover XLT AT3,275/65/20,726-12-01 xxxx-0A2C-xxxx,,mjx089,,,,,,,,,,,,,,,,,,,,,
Nokian,Outpost AT,275/60/20,726-12-01 xxxx-09BB-xxxx,,Grinnell_F150,,,,,,,,,,,,,,,,,,,,,
Michelin,"""factory""",275/55/20,726-12-01 xxxx-099E-xxxx,,Patman,,,,,,,,,,,,,,,,,,,,,
Hankook,iPike Winter,265/70/17,726-12-01 xxxx 0987 xxxx,,JPN_CND,,,,,,,,,,,,,,,,,,,,,
Hankook,Dynapro HT,265/60/18,726-12-01 xxxx-0933-xxxx,,Battou62,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
