Bluetooth Vehicle Nameplate ID (BVNI),,,,,,,Bluetooth Audio Profile Index (BAPI) ,,,,,,,,,,,,,,,,,,
7D0-04-01,xxxx,xxxx,**--,00,SYNC,,7D0-04-01,xx**,**xx,xx--,0000,BAPI Profile 1,,,,,,,,,,,,,
,,,,01,Ford Fiesta,,,,,,0001,BAPI U502 Explorer (Ext Amp),,,,,,,,,,,,,
,,,,02,Ford Focus,,,,,,0002,BAPI CD533 MKZ (Ext Amp),,,,,,,,,,,,,
,,,,03,Ford Fusion,,,,,,0003,BAPI U387 Edge,,,,,,,,,,,,,
,,,,04,Ford C-Max,,,,,,0004,BAPI C344 CMAX (Int Amp),,,,,,,,,,,,,
,,,,05,Ford Taurus,,,,,,0005,BAPI D258 Taurus (Ext Amp),,,,,,,,,,,,,
,,,,06,Ford Mustang,,,,,,0006,BAPI C520 Escape (Ext Amp),,,,,,,,,,,,,
,,,,07,Ford EcoSport,,,,,,0007,BAPI B299 Fiesta (Ext Amp),,,,,,,,,,,,,
,,,,08,Ford Escape,,,,,,0008,BAPI U222 Expedition (Ext Amp),,,,,,,,,,,,,
,,,,09,Ford Edge,,,,,,0009,BAPI S550 Mustang (Ext Amp),,,,,,,,,,,,,
,,,,0A,Ford Flex,,,,,,000A,BAPI V363N Transit (Int Amp),,,,,,,,,,,,,
,,,,0B,Ford Explorer,,,,,,000B,BAPI C346N Focus / Generic Compact,,,,,,,,,,,,,
,,,,0C,Ford Expedition,,,,,,000C,BAPI Generic Small Xover (Int Amp),,,,,,,,,,,,,
,,,,0D,Ford Ranger,,,,,,000D,BAPI Generic Small Xover (Ext Amp),,,,,,,,,,,,,
,,,,0E,Ford F150,,,,,,000E,BAPI Generic Large Sedan,,,,,,,,,,,,,
,,,,0F,Ford F250,,,,,,000F,BAPI Generic Large SUV,,,,,,,,,,,,,
,,,,10,Ford F350,,,,,,0010,BAPI U228 Lincoln Navigator,,,,,,,,,,,,,
,,,,11.0,Ford F450,,,,,,0011,BAPI D471 Flex (Ext Amp),,,,,,,,,,,,,
,,,,12.0,Ford F550,,,,,,0012,BAPI D472 MKT (Ext Amp),,,,,,,,,,,,,
,,,,13.0,Ford Transit Connect,,,,,,0013,BAPI C346N Focus ST (Int Amp),,,,,,,,,,,,,
,,,,14.0,Ford Transit,,,,,,0014,BAPI P552 F150 with Sony Audio (Ext Amp),,,,,,,,,,,,,
,,,,15.0,Ford E150,,,,,,0016,BAPI EU CMAX C344E,,,,,,,,,,,,,
,,,,16.0,Ford E350,,,,,,0017,BAPI EU Edge CD539X,,,,,,,,,,,,,
,,,,17.0,Ford F650,,,,,,0018,BAPI EU Explorer U502,,,,,,,,,,,,,
,,,,18.0,Ford F750,,,,,,0019,BAPI EU Fiesta B299,,,,,,,,,,,,,
,,,,19.0,Lincoln MKZ,,,,,,001A,BAPI EU Focus C346E,,,,,,,,,,,,,
,,,,1A,Lincoln MKS,,,,,,001B,BAPI EU Galaxy CD390E Smax CD539E,,,,,,,,,,,,,
,,,,1B,Lincoln MKC,,,,,,001C,BAPI EU Kuga C520E,,,,,,,,,,,,,
,,,,1C,Lincoln MKX,,,,,,001D,BAPI EU Mondeo CD391E,,,,,,,,,,,,,
,,,,1D,Lincoln MKT,,,,,,001E,BAPI EU Mustang S550,,,,,,,,,,,,,
,,,,1E,Lincoln Navigator,,,,,,001F,BAPI EU Transit 363E,,,,,,,,,,,,,
,,,,1F,Ford Ka,,,,,,0020,BAPI EU Transit Connect V408,,,,,,,,,,,,,
,,,,20,Ford Fiesta,,,,,,0021,BAPI U540 MKX/Nautilus,,,,,,,,,,,,,
,,,,21.0,Ford Transit Courier,,,,,,0022,BAPI D568C Taurus (China),,,,,,,,,,,,,
,,,,22.0,Ford B-Max,,,,,,0023,BAPI U375A LHD Everest (Thailand),,,,,,,,,,,,,
,,,,23.0,Ford Grand C-Max,,,,,,0024,BAPI U375A RHD Everest,,,,,,,,,,,,,
,,,,24.0,Ford Mondeo,,,,,,0025,BAPI P375A LHD Ranger (Thailand),,,,,,,,,,,,,
,,,,25.0,Ford Kuga,,,,,,0026,BAPI P375A RHD Ranger,,,,,,,,,,,,,
,,,,26.0,Ford S-Max,,,,,,0029,BAPI Ford GT,,,,,,,,,,,,,
,,,,27.0,Ford Galaxy,,,,,,002A,BAPI V362 OHC Transit Custom MK8,,,,,,,,,,,,,
,,,,28.0,Ford Figo,,,,,,002B,BAPI V362 HL Transit Custom MK8,,,,,,,,,,,,,
,,,,29.0,Ford Escort,,,,,,002C,BAPI B460 Transit Courier,,,,,,,,,,,,,
,,,,2A,Ford Falcon,,,,,,002D,BAPI B562 HL Figo,,,,,,,,,,,,,
,,,,2B,Ford Everest,,,,,,002E,BAPI B562 OHC Figo,,,,,,,,,,,,,
,,,,2C,Ford Territory,,,,,,002F,BAPI P375 Ranger DoubleCab,,,,,,,,,,,,,
,,,,2D,Ford Raptor,,,,,,0030,BAPI U375 Everest MoonRoof,,,,,,,,,,,,,
,,,,2E,Lincoln Continental,,,,,,0031,BAPI U375 Everest Standard Roof,,,,,,,,,,,,,
,,,,2F,Ford GT,,,,,,0032,BAPI P473 Superduty,,,,,,,,,,,,,
,,,,30,Ford Endeavour,,,,,,0033,BAPI P375 Ranger DBL (Branded),,,,,,,,,,,,,
,,,,31.0,Ford Fiesta ST,,,,,,0034,BAPI P375 Ranger DBL (Unbranded),,,,,,,,,,,,,
,,,,32.0,Ford Focus ST,,,,,,0035,BAPI MY19 D568 Branded (New Mic Location),,,,,,,,,,,,,
,,,,33.0,Ford Focus RS,,,,,,0036,BAPI MY19 D568 Unbranded (New Mic Location),,,,,,,,,,,,,
,,,,34.0,Lincoln Aviator,,,,,,0037,BAPI V363N Transit HL mic,,,,,,,,,,,,,
,,,,35.0,Lincoln Corsair,,,,,,0038,BAPI CX727 Mustang Mach-E,,,,,,,,,,,,,
,,,,36.0,Ford Endura.,,,,,,0039,BAPI U725 Bronco,,,,,,,,,,,,,
,,,,37.0,Ford Bronco,,,,,,FFFF,BAPI Use Method 3 provisioned profile table,,,,,,,,,,,,,
,,,,38.0,Lincoln Nautilus,,,,,,,,,,,,,,,,,,,,
,,,,39.0,Ford Puma,,,,,,,,,,,,,,,,,,,,
,,,,3A,Lincoln Aviator Coupe,,,,,,,,,,,,,,,,,,,,
,,,,3B,Ford Tourneo Connect,,,,,,,,,,,,,,,,,,,,
,,,,3C,Ford Tourneo Custom,,,,,,,,,,,,,,,,,,,,
,,,,3D,Shelby GT350,,,,,,,,,,,,,,,,,,,,
,,,,3E,Shelby GT500,,,,,,,,,,,,,,,,,,,,
,,,,3F,Ford Bronco Sport,,,,,,,,,,,,,,,,,,,,
,,,,40,Blank,,,,,,,,,,,,,,,,,,,,
,,,,41,Ford Maverick,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
