asbuilt_prefix,example_count,sample_addresses,scope
726,154,726-01-01;726-01-02;726-02-01;726-02-02;726-03-01;726-04-01;726-04-02;726-05-01,2019-filtered export
740,27,740-01-01;740-01-02;740-01-03;740-01-04;740-01-05;740-02-01;740-02-02;740-03-01,2019-filtered export
727,22,727-01-01;727-01-02;727-01-03;727-02-01;727-03-01;727-04-01;727-05-01;727-05-02,2019-filtered export
7D0,21,7D0-01-01;7D0-01-02;7D0-02-01;7D0-02-02;7D0-02-03;7D0-03-01;7D0-04-01;7D0-04-02,2019-filtered export
720,17,720-01-01;720-01-02;720-02-01;720-02-02;720-03-01;720-03-02;720-04-01;720-04-02,2019-filtered export
712,17,712-01-01;712-01-02;712-02-01;712-03-01;712-04-01;712-05-01;712-05-02;712-06-01,2019-filtered export
7C4,15,7C4-01-01;7C4-02-01;7C4-02-02;7C4-03-01;7C4-04-01;7C4-05-01;7C4-05-02;7C4-06-01,2019-filtered export
744,12,744-01-01;744-02-01;744-03-01;744-03-02;744-04-01;744-05-01;744-06-01;744-07-01,2019-filtered export
737,10,737-01-01;737-01-02;737-01-03;737-01-04;737-02-01;737-02-02;737-03-01;737-04-01,2019-filtered export
760,9,760-01-01;760-01-02;760-01-03;760-01-04;760-02-01;760-02-02;760-03-01;760-04-01,2019-filtered export
724,9,724-01-01;724-02-01;724-03-01;724-04-01;724-05-01;724-06-01;724-07-01;724-08-01,2019-filtered export
7A7,8,7A7-01-01;7A7-01-02;7A7-01-03;7A7-01-04;7A7-02-01;7A7-02-02;7A7-02-03;7A7-02-04,2019-filtered export
7B1,8,7B1-01-01;7B1-01-02;7B1-02-01;7B1-02-02;7B1-03-01;7B1-03-02;7B1-05-01;7B1-05-02,2019-filtered export
776,8,776-01-01;776-02-01;776-03-01;776-04-01;776-05-01;776-06-01;776-07-01;776-08-01,2019-filtered export
706,7,706-01-01;706-01-02;706-02-01;706-02-02;706-03-01;706-03-02;706-04-01,2019-filtered export
736,5,736-01-01;736-02-01;736-03-01;736-04-01;736-05-01,2019-filtered export
754,5,754-01-01;754-01-02;754-02-01;754-16-01;754-16-02,2019-filtered export
741,4,741-03-01;741-05-01;741-12-01;741-13-01,2019-filtered export
730,4,730-01-01;730-01-02;730-01-03;730-02-01,2019-filtered export
783,3,783-01-01;783-02-01;783-03-01,2019-filtered export
714,2,714-01-01;714-02-01,2019-filtered export
791,2,791-01-01;791-02-01,2019-filtered export
7A5,1,7A5-01-01,2019-filtered export
