sheet,file,module_guess,can_req_hint,rows,model_years
ABS 2018-2019,00_ABS_2018-2019.csv,ABS,760,1005,2018-2019
ACM 2018-20,01_ACM_2018-20.csv,ACM,,1001,2018-2019
ACM 2018plus,02_ACM_2018plus.csv,ACM,,1091,2018-2019
APIM New,03_APIM_New.csv,APIM,7D0,1036,2019
APIM Sync 3,04_APIM_Sync_3.csv,APIM,7D0,1553,2019
APIM Sync 3 2022notes,05_APIM_Sync_3_2022notes.csv,APIM,7D0,994,2019
BCM JU5T,06_BCM_JU5T.csv,BCM,726,1032,2019
BVNI BAPI,07_BVNI_BAPI.csv,BVNI,,1000,2019
Common,08_Common.csv,Common,,1065,2019
Country Codes,09_Country_Codes.csv,Country,,1000,2019
DDMPDM,10_DDMPDM.csv,DDMPDM,,1132,2019
DSM,11_DSM.csv,DSM,,1001,2019
DSP 2018plus,12_DSP_2018plus.csv,DSP,,1000,2018-2019
FCDIM,13_FCDIM.csv,FCDIM,,998,2019
FCIM,14_FCIM.csv,FCIM,7A7,1027,2019
HSWM,15_HSWM.csv,HSWM,,1008,2019
IPC,16_IPC.csv,IPC,720,1294,2019
IPC Newer,17_IPC_Newer.csv,IPC,720,1035,2019
IPMA 2015-20,18_IPMA_2015-20.csv,IPMA,,1010,2015-2020 (incl 2019)
IPMB,19_IPMB.csv,IPMB,,1001,2019
PAM 2015-20,20_PAM_2015-20.csv,PAM,,1000,2015-2020 (incl 2019)
Power Point Timeout,21_Power_Point_Timeout.csv,PowerPoint,,1008,2019
PSCM,22_PSCM.csv,PSCM,730,1017,2019
RCM,23_RCM.csv,RCM,,1090,2019
SCCM,24_SCCM.csv,SCCM,724,1089,2019
SCME,25_SCME.csv,SCME,,1000,2019
SCMGSCMH,26_SCMGSCMH.csv,SCMGSCMH,,912,2019
SODL SODR,27_SODL_SODR.csv,SODL,,1000,2019
TCU 2018plus,28_TCU_2018plus.csv,TCU,754,987,2018-2019
TCU K 2019,29_TCU_K_2019.csv,TCU,754,1000,2019
Tire Size Values,30_Tire_Size_Values.csv,Tire,,1022,2019
TRM,31_TRM.csv,TRM,,65,2019
