Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",37.000000,-38.000000,0.000000,top
"C2","100nF","C_0603_1608Metric",41.000000,-38.000000,0.000000,top
"C3","100nF","C_0603_1608Metric",45.000000,-38.000000,0.000000,top
"C4","100nF","C_0603_1608Metric",49.000000,-38.000000,0.000000,top
"C5","100nF","C_0603_1608Metric",53.000000,-38.000000,0.000000,top
"J1","B2B","PinHeader_2x10_P2.54mm_Vertical",95.000000,-30.000000,0.000000,top
"J2","SWD","PinHeader_1x04_P2.54mm_Vertical",78.000000,-30.000000,0.000000,top
"S1","OSB1","SW_PUSH_6mm_H4.3mm",34.000000,-126.500000,0.000000,top
"S2","OSB2","SW_PUSH_6mm_H4.3mm",52.000000,-126.500000,0.000000,top
"S3","OSB3","SW_PUSH_6mm_H4.3mm",70.000000,-126.500000,0.000000,top
"S4","OSB4","SW_PUSH_6mm_H4.3mm",88.000000,-126.500000,0.000000,top
"S5","OSB5","SW_PUSH_6mm_H4.3mm",106.000000,-126.500000,0.000000,top
"S6","OSB6","SW_PUSH_6mm_H4.3mm",126.500000,-106.000000,0.000000,top
"S7","OSB7","SW_PUSH_6mm_H4.3mm",126.500000,-88.000000,0.000000,top
"S8","OSB8","SW_PUSH_6mm_H4.3mm",126.500000,-70.000000,0.000000,top
"S9","OSB9","SW_PUSH_6mm_H4.3mm",126.500000,-52.000000,0.000000,top
"S10","OSB10","SW_PUSH_6mm_H4.3mm",126.500000,-34.000000,0.000000,top
"S11","OSB11","SW_PUSH_6mm_H4.3mm",106.000000,-13.500000,0.000000,top
"S12","OSB12","SW_PUSH_6mm_H4.3mm",88.000000,-13.500000,0.000000,top
"S13","OSB13","SW_PUSH_6mm_H4.3mm",70.000000,-13.500000,0.000000,top
"S14","OSB14","SW_PUSH_6mm_H4.3mm",52.000000,-13.500000,0.000000,top
"S15","OSB15","SW_PUSH_6mm_H4.3mm",34.000000,-13.500000,0.000000,top
"S16","OSB16","SW_PUSH_6mm_H4.3mm",13.500000,-34.000000,0.000000,top
"S17","OSB17","SW_PUSH_6mm_H4.3mm",13.500000,-52.000000,0.000000,top
"S18","OSB18","SW_PUSH_6mm_H4.3mm",13.500000,-70.000000,0.000000,top
"S19","OSB19","SW_PUSH_6mm_H4.3mm",13.500000,-88.000000,0.000000,top
"S20","OSB20","SW_PUSH_6mm_H4.3mm",13.500000,-106.000000,0.000000,top
"SW1","GAIN","SW_PUSH_6mm_H4.3mm",22.000000,-118.000000,0.000000,top
"SW2","SYM","SW_PUSH_6mm_H4.3mm",118.000000,-118.000000,0.000000,top
"SW3","BRT","SW_PUSH_6mm_H4.3mm",22.000000,-22.000000,0.000000,top
"SW4","CON","SW_PUSH_6mm_H4.3mm",118.000000,-22.000000,0.000000,top
"U1","STM32G431CBU6","LQFP-48_7x7mm_P0.5mm",45.000000,-30.000000,0.000000,top
"U4","AMS1117-3.3","SOT-23-5",62.000000,-30.000000,0.000000,top
