Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",55.000000,-80.000000,0.000000,top
"C2","100nF","C_0603_1608Metric",59.000000,-80.000000,0.000000,top
"C3","100nF","C_0603_1608Metric",63.000000,-80.000000,0.000000,top
"C4","100nF","C_0603_1608Metric",67.000000,-80.000000,0.000000,top
"J3","USB-C","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",75.000000,-50.000000,0.000000,top
"J5","Eth","RJ45_Amphenol_RJHSE5380",95.000000,-70.000000,0.000000,top
"J10","SoM_A","PinHeader_2x10_P2.54mm_Vertical",30.000000,-45.000000,0.000000,top
"J11","SoM_B","PinHeader_2x10_P2.54mm_Vertical",30.000000,-62.000000,0.000000,top
"J_BEZEL","OSB1-20","PinHeader_1x20_P2.54mm_Vertical",55.000000,-18.000000,0.000000,top
"J_GND","GND","PinHeader_1x02_P2.54mm_Vertical",110.000000,-18.000000,0.000000,top
"J_RK","rockers","PinHeader_1x04_P2.54mm_Vertical",100.000000,-18.000000,0.000000,top
"U11","3V3","SOT-23-5",70.000000,-72.000000,0.000000,top
